,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Balance Sheet (For balance analysis),,,,,,,,,
,"As it currently stands, the top-heavy system involves growing bonuses with each upgrade. Initial upgrades offer little, but following upgrades add increasingly more, resulting in a growth curve. In other words all trees are top-heavy. This means it is more beneficial to finish a tree than to leave it partway done – normally it is increasingly less efficient to spend money on a tree, since the bonuses do not scale up with total cost invested.",,,,,,"How Long it Takes to pay off cost in years. ToT C-I calculates roughly how long it would take to pay off ALL costs accumulated to that point against income accumulated to that point. Some stuff may be quite high, due to tax modifiers as they affect all buildings built. re_lumber_1 for example will take 127 years to cover cost-wise alone, but upgrading as far as re_lumber_5 ASAP will result in only 52 years being required to cover ALL tree costs versus 127 for re_lumber_1 alone!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARS,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,
"cta, cat, ca, ct, t, tca, tct",VALUE,,15.0,5000.0,20.0,0.5,2.0,1.5,1.5,4.0,2.0,3.0,1.0,,,,,,,,,,,,,,,"6,000.00",,,,,,,,15.0,20.0,,,,,,,,
,[Unlocalised],Structure Name [Localised],Tax (+),Local Tax Modifier,Fort Level,LI,HI,AR,LC,KN,PI,SP,Galleys,LI-O,LI-D,HI-O,HI-D,AR-O,AR-D,LC-O,LC-D,KN-O,KN-D,PI-O,PI-D,Levy Reinforce,Land Morale,Local Levy Modifier,Build Cost,Build Time,Prestige Cost,Upgrades to,Prerequisite 1,Prerequisite 2,,Total Tax Yearly,Total Fort Level,Total Levy,Total Cost,Total Time (Y),Years to Cover,ToT C-I,Max YtC,Total Approx Economic Value,Total Approx Military Value
,ct_re_lumber_1,Woodcutter,0.05,0.05,-0.05,5,0,10,0,0,0,0,2,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,80,120,0,re_lumber_2,ct_core_level_1,,,0.63,-0.05,15,80,0.33,127,127,127,250,20
,ct_re_lumber_2,Primitive Lumbermill,0.08,0.05,-0.05,7,0,13,0,0,0,0,4,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,100,140,0,re_lumber_3,ct_core_level_3,,,1.05,-0.10,35,180,0.71,95,108,127,250,27
,ct_re_lumber_3,Lumbermill,0.11,0.05,-0.05,10,0,15,0,0,0,0,6,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,120,160,0,re_lumber_4,ct_core_level_5,,,1.78,-0.15,60,300,1.15,68,88,127,251,34
,ct_re_lumber_4,Established Lumber Operations,0.17,0.05,-0.05,15,0,20,0,0,0,0,8,0.03,0.02,0.00,0.00,0.03,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,140,180,0,re_lumber_5,ct_core_level_7,,,3.00,-0.20,95,440,1.64,47,70,127,252,46
,ct_re_lumber_5,Extensive Lumber Operations,0.25,0.05,-0.05,20,0,25,0,0,0,0,10,0.05,0.03,0.00,0.00,0.05,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,160,200,0,,ct_core_level_10,,,5.02,-0.25,140,600,2.19,32,54,127,253,58
"ct core buildings provide high tax and a lot of levies, but generally unprofessional and defensively focused.",ct_core_level_1,Scattered Huts,0.25,-0.01,-0.10,5,0,5,0,0,0,0,0,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,365,50,ct_core_level_2,,,,2.97,-0.10,10,0,1.00,n/a,n/a,n/a,-48,10
,ct_core_level_2,Sparse Settlement,0.38,-0.01,-0.10,10,0,15,0,0,0,0,0,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,438,600,ct_core_level_3,,,,4.35,-0.20,35,0,2.20,n/a,n/a,n/a,-46,28
,ct_core_level_3,Isolated Hamlet,0.56,-0.01,-0.10,15,0,20,0,0,0,0,0,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.01,0.00,0,526,1200,ct_core_level_4,,,,6.32,-0.30,70,0,3.64,n/a,n/a,n/a,-44,38
