#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
visit_market_desc;I'll take a stroll down to the local §YMarketplace§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_VISITMARKET;Off we go!;;;;;;;;;;;;;
EVTDESCA_TSK_MARKET1;You have decided to walk down to the nearby market, to take a look at what the merchants are selling. Which stall do you want to visit first?;;;;;;;;;x;;;;
EVTDESCB_TSK_MARKET1;You decided to go back to the previous set of merchants, which one do you wish to visit?;;;;;;;;;x;;;;
EVTOPTA_TSK_MARKET1;I'll take a look at what the Weaponsmith has to offer!;;;;;;;;;x;;;;
EVTOPTB_TSK_MARKET1;I'll take  a look at what the Armorsmith has to offer!;;;;;;;;;x;;;;
EVTOPTC_TSK_MARKET1;I'll take  a look at what the Jeweler has to offer!;;;;;;;;;x;;;;
EVTOPTD_TSK_MARKET1;Continue down the Market;;;;;;;;;x;;;;
EVTTOOLTIP_TSK_MARKET1A;Visit the §YWeaponsmith§! ;;;;;;;;;x;;;;
EVTTOOLTIP_TSK_MARKET1B;Visit the §YArmorsmith§! ;;;;;;;;;x;;;;
EVTTOOLTIP_TSK_MARKET1C;Visit the §YJewler§! ;;;;;;;;;x;;;;
EVTTOOLTIP_TSK_MARKET1D;Continue down the §Ymarket§!;;;;;;;;;x;;;;
EVTDESC_TSK_MARKET2;You continued down the marketplace, and found a Blacksmith and a merchant selling general goods;;;;;;;;;x;;;;
EVTOPTA_TSK_MARKET2;I'll take a look at what the Blacksmith has to offer!;;;;;;;;;x;;;;
EVTOPTB_TSK_MARKET2;I'll take a look at what the General Goods Peddler has to offer!;;;;;;;;;;;;;
EVTOPTC_TSK_MARKET2;Neither of them sound interesting, I'll continue walking!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET2A;Visit the §YBlacksmith§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET2B;Visit the §YGeneral Goods Peddler§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET2C;Continue down the §Ymarket§!;;;;;;;;;;;;;
EVTDESC_TSK_MARKET3;As you reach the end of the Marketplace you notice a Bowyer who has set up shop;;;;;;;;;;;;;
EVTOPTA_TSK_MARKET3;I'll take a look at what the Bowyer has to offer!;;;;;;;;;;;;;
EVTOPTB_TSK_MARKET3;Hmm… Maybe I missed something, I'll go back to the start of the market and check again!;;;;;;;;;;;;;
EVTOPTC_TSK_MARKET3;Screw this, they aren't selling anything of value!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET3A;Visit the §YBowyer§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET3B;Go back to the beginning of your stroll through the §YMarket§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET3C;Exit the §YMarket§!;;;;;;;;;;;;;
EVTDESC_TSK_MARKET10;You have arrived at the Weaponsmiths stall, so far you haven't spotted any special weaponry. But the Weaponsmith is indeed selling basic weaponry;;;;;;;;;;;;;
EVTOPTA_TSK_MARKET10;I'll take a look at the Blade Weaponry;;;;;;;;;;;;;
EVTOPTB_TSK_MARKET10;I'll take a look at the Blunt Weaponry;;;;;;;;;;;;;
EVTOPTC_TSK_MARKET10;I'll take a look at the Polearms;;;;;;;;;;;;;
EVTOPTD_TSK_MARKET10;This wasn't what I was looking for at all!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET10A;The Smith shows you his §YBlades§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET10B;The Smith shows you his §YBlunt Weapons§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET10C;The Smith shows you his §YPolearms§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET10D;You return to the §YMarket§!;;;;;;;;;;;;;
EVTDESC_TSK_MARKET100;The Smith shows you to the way to his stock of Blade weaponry, and you are fairly impressed! He has 3 different kinds of swords, 3 different kinds of axes and even two different kinds of knives!;;;;;;;;;;;;;
EVTOPTA_TSK_MARKET100;Give the Swords a closer inspection;;;;;;;;;;;;;
EVTOPTB_TSK_MARKET100;Give the Axes a closer inspection;;;;;;;;;;;;;
EVTOPTC_TSK_MARKET100;Give the Knives a closer inspection;;;;;;;;;;;;;
EVTOPTD_TSK_MARKET100;I'm not interested in any of these, show me something else!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET100A;You decide to take a look at the §YSwords§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET100B;You decide to take a look at the §YAxes§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET100C;You decide to take a look at the §YKnives§!;;;;;;;;;;;;;
EVTTOOLTIP_TSK_MARKET100D;You back up and take a look at the other categories of weapons.;;;;;;;;;;;;;
