#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_abdera;Abdera;Abdera;Abdera;;Abdera;;;;;;;;;x
b_abdera_adj;Abderan;;abderer;;;;;;;;;;;x
b_abdera_2;Abdera;Abdera;Abdera;;Abdera;;;;;;;;;x
b_abdera_2_adj;Abderan;;abderer;;;;;;;;;;;x
b_abdera_3;Abdera;Abdera;Abdera;;Abdera;;;;;;;;;x
b_abdera_3_adj;Abderan;;abderer;;;;;;;;;;;x
b_abotega;Abotega;Abotega;Abotega;;Abotega;;;;;;;;;x
b_abotega_adj;Abotegan;;aboteger;;;;;;;;;;;x
b_abotega_2;Abotega;Abotega;Abotega;;Abotega;;;;;;;;;x
b_abotega_2_adj;Abotegan;;aboteger;;;;;;;;;;;x
b_abotega_3;Abotega;Abotega;Abotega;;Abotega;;;;;;;;;x
b_abotega_3_adj;Abotegan;;aboteger;;;;;;;;;;;x
b_acorn_hall;Acorn Hall;Acorn Hall;Acorn Hall;;Acorn Hall;;;;;;;;;x
b_acorn_hall_adj;Acorn Hallian;;Acorn Haller;;;;;;;;;;;x
b_acorn_hall_2;Acorn Hall;Acorn Hall;Acorn Hall;;Acorn Hall;;;;;;;;;x
b_acorn_hall_2_adj;Acorn Hallian;;Acorn Haller;;;;;;;;;;;x
b_acorn_hall_3;Acorn Hall;Acorn Hall;Acorn Hall;;Acorn Hall;;;;;;;;;x
b_acorn_hall_3_adj;Acorn Hallian;;Acorn Haller;;;;;;;;;;;x
b_acorn_hall_4;Acorn Hall;Acorn Hall;Acorn Hall;;Acorn Hall;;;;;;;;;x
b_acorn_hall_4_adj;Acorn Hallian;;Acorn Haller;;;;;;;;;;;x
b_agnadello;Agnadello;Agnadello;Agnadello;;Agnadello;;;;;;;;;x
b_agnadello_adj;Agnadellian;;agnadeller;;;;;;;;;;;x
b_agnadello_2;Agnadello;Agnadello;Agnadello;;Agnadello;;;;;;;;;x
b_agnadello_2_adj;Agnadellian;;agnadeller;;;;;;;;;;;x
b_agrigento;Agrigento;Agrigento;Agrigento;;Agrigento;;;;;;;;;x
b_agrigento_adj;Agrigentian;;agrigenter;;;;;;;;;;;x
b_agrigento_2;Agrigento;Agrigento;Agrigento;;Agrigento;;;;;;;;;x
b_agrigento_2_adj;Agrigentian;;agrigenter;;;;;;;;;;;x
b_agrigento_3;Agrigento;Agrigento;Agrigento;;Agrigento;;;;;;;;;x
b_agrigento_3_adj;Agrigentian;;agrigenter;;;;;;;;;;;x
b_ahigal;Ahigal;Ahigal;Ahigal;;Ahigal;;;;;;;;;x
b_ahigal_adj;Ahigalian;;ahigaler;;;;;;;;;;;x
b_ahigal_2;Ahigal;Ahigal;Ahigal;;Ahigal;;;;;;;;;x
b_ahigal_2_adj;Ahigalian;;ahigaler;;;;;;;;;;;x
b_ahigal_3;Ahigal;Ahigal;Ahigal;;Ahigal;;;;;;;;;x
b_ahigal_3_adj;Ahigalian;;ahigaler;;;;;;;;;;;x
b_airford;Airford;Airford;Airford;;Airford;;;;;;;;;x
b_airford_adj;Airfordian;;airforder;;;;;;;;;;;x
b_airford_2;Airford;Airford;Airford;;Airford;;;;;;;;;x
b_airford_2_adj;Airfordian;;airforder;;;;;;;;;;;x
b_ajoncourt;Ajoncourt;Ajoncourt;Ajoncourt;;Ajoncourt;;;;;;;;;x
b_ajoncourt_adj;Ajoncourtian;;ajoncourter;;;;;;;;;;;x
b_ajoncourt_2;Ajoncourt;Ajoncourt;Ajoncourt;;Ajoncourt;;;;;;;;;x
b_ajoncourt_2_adj;Ajoncourtian;;ajoncourter;;;;;;;;;;;x
b_ajoncourt_3;Ajoncourt;Ajoncourt;Ajoncourt;;Ajoncourt;;;;;;;;;x
