########################################
##### COUNCILLOR NAME LOCALISATION #####
########################################

###/ GENERIC \###

# CASTELLAN

emperor_job_castellan;Imperial Magister;;;;;;;;;;;;;x
emperor_job_castellan_female;Imperial Magistra;;;;;;;;;;;;;x
emperor_job_chancellor;Imperial Justiciar;;;;;;;;;;;;;x
emperor_job_chancellor_female;Imperial Justiciar;;;;;;;;;;;;;x

job_castellan;Castellan;;;;;;;;;;;;;x
city_job_castellan;Steward;;;;;;;;;;;;;x

job_spiritual;Priest;;;;;;;;;;;;;x
job_spiritual_female;Priestess;;;;;;;;;;;;;x

###/ RELIGIOUS \###

# THE SEVEN
job_spiritual_the_seven;Septon;;;;;;;;;;;;;x
job_spiritual_female_the_seven;Septa;;;;;;;;;;;;;x

# DROWNED GOD
job_spiritual_drowned_god;Drowned Man;;;;;;;;;;;;;x
job_spiritual_female_drowned_god;Drowned Woman;;;;;;;;;;;;;x

# STORM GOD
job_spiritual_storm_god;Storm Man;;;;;;;;;;;;;x
job_spiritual_female_storm_god;Storm Woman;;;;;;;;;;;;;x

# R'HLLOR
job_spiritual_rhllor;Red Priest;;;;;;;;;;;;;x
job_spiritual_female_rhllor;Red Priestess;;;;;;;;;;;;;x


###/ ANDAL \###

# CASTELLAN
emperor_job_castellan_andal;Hand of the King;;;;;;;;;;;;;x
king_job_castellan_andal;Hand of the King;;;;;;;;;;;;;x
job_castellan_andal;Castellan;;;;;;;;;;;;;x

city_emperor_job_castellan_andal;High Steward;;;;;;;;;;;;;x
city_emperor_job_castellan_female_andal;High Stewardess;;;;;;;;;;;;;x
city_king_job_castellan_andal;High Steward;;;;;;;;;;;;;x
city_king_job_castellan_female_andal;High Stewardess;;;;;;;;;;;;;x
city_job_castellan_andal;Steward;;;;;;;;;;;;;x
city_job_castellan_female_andal;Stewardess;;;;;;;;;;;;;x

# TREASURER
emperor_job_treasurer_andal;Master of Coin;;;;;;;;;;;;;x
emperor_job_treasurer_female_andal;Mistress of Coin;;;;;;;;;;;;;x
king_job_treasurer_andal;Master of Coin;;;;;;;;;;;;;x
king_job_treasurer_female_andal;Mistress of Coin;;;;;;;;;;;;;x
job_treasurer_andal;Treasurer;;;;;;;;;;;;;x

# CHANCELLOR
job_chancellor_andal;Master of Laws;;;;;;;;;;;;;x
job_chancellor_female_andal;Mistress of Laws;;;;;;;;;;;;;x

# MARSHAL
job_marshal_andal;Master-at-Arms;;;;;;;;;;;;;x

# SPYMASTER
job_spymaster_andal;Master of Whisperers;;;;;;;;;;;;;x
job_spymaster_female_andal;Mistress of Whisperers;;;;;;;;;;;;;x

###/ FIRST MEN \###

# CASTELLAN
emperor_job_castellan_first_men;Hand of the King;;;;;;;;;;;;;x
king_job_castellan_first_men;Hand of the King;;;;;;;;;;;;;x
job_castellan_first_men;Castellan;;;;;;;;;;;;;x

city_emperor_job_castellan_first_men;High Steward;;;;;;;;;;;;;x
city_emperor_job_castellan_female_first_men;High Stewardess;;;;;;;;;;;;;x
city_king_job_castellan_first_men;High Steward;;;;;;;;;;;;;x
city_king_job_castellan_female_first_men;High Stewardess;;;;;;;;;;;;;x
city_job_castellan_first_men;Steward;;;;;;;;;;;;;x
city_job_castellan_female_first_men;Stewardess;;;;;;;;;;;;;x

# TREASURER
emperor_job_treasurer_first_men;Master of Coin;;;;;;;;;;;;;x
emperor_job_treasurer_female_first_men;Mistress of Coin;;;;;;;;;;;;;x
king_job_treasurer_first_men;Master of Coin;;;;;;;;;;;;;x
king_job_treasurer_female_first_men;Mistress of Coin;;;;;;;;;;;;;x
job_treasurer_first_men;Treasurer;;;;;;;;;;;;;x

# CHANCELLOR
job_chancellor_first_men;Master of Laws;;;;;;;;;;;;;x
job_chancellor_female_first_men;Mistress of Laws;;;;;;;;;;;;;x

# MARSHAL
job_marshal_first_men;Master-at-Arms;;;;;;;;;;;;;x

# SPYMASTER
job_spymaster_first_men;Master of Whisperers;;;;;;;;;;;;;x
job_spymaster_female_first_men;Mistress of Whisperers;;;;;;;;;;;;;x

###/ DORNISH \###

# CASTELLAN
emperor_job_castellan_dornish;Hand of the King;;;;;;;;;;;;;x
king_job_castellan_dornish;Seneschal;;;;;;;;;;;;;x
job_castellan_dornish;Castellan;;;;;;;;;;;;;x

city_emperor_job_castellan_dornish;High Steward;;;;;;;;;;;;;x
city_emperor_job_castellan_female_dornish;High Stewardess;;;;;;;;;;;;;x
city_king_job_castellan_dornish;High Steward;;;;;;;;;;;;;x
city_king_job_castellan_female_dornish;High Stewardess;;;;;;;;;;;;;x
city_job_castellan_female_dornish;Steward;;;;;;;;;;;;;x

# TREASURER
emperor_job_treasurer_dornish;Master of Coin;;;;;;;;;;;;;x
emperor_job_treasurer_female_dornish;Mistress of Coin;;;;;;;;;;;;;;x
king_job_treasurer_dornish;Master of Coin;;;;;;;;;;;;;x
king_job_treasurer_female_dornish;Mistress of Coin;;;;;;;;;;;;;x
job_treasurer_dornish;Treasurer;;;;;;;;;;;;;x

# CHANCELLOR
job_chancellor_dornish;Master of Laws;;;;;;;;;;;;;x
job_chancellor_female_dornish;Mistress of Laws;;;;;;;;;;;;;x

# MARSHAL
job_marshal_dornish;Master-at-Arms;;;;;;;;;;;;;x

# SPYMASTER
job_spymaster_dornish;Master of Whisperers;;;;;;;;;;;;;x
job_spymaster_female_dornish;Mistress of Whisperers;;;;;;;;;;;;;x

###/ IRON ISLANDER \###

# CASTELLAN
emperor_job_castellan_iron_islander;Iron Hand;;;;;;;;;;;;;x
emperor_job_castellan_female_iron_islander;Iron Hand;;;;;;;;;;;;;x
king_job_castellan_iron_islander;Lord Steward;;;;;;;;;;;;;x
king_job_castellan_female_iron_islander;Lady Steward;;;;;;;;;;;;;x
duke_job_castellan_iron_islander;Lord Steward;;;;;;;;;;;;;x
duke_job_castellan_female_iron_islander;Lady Steward;;;;;;;;;;;;;x
job_castellan_iron_islander;Castellan;;;;;;;;;;;;;x

city_emperor_job_castellan_iron_islander;High Steward;;;;;;;;;;;;;x
city_emperor_job_castellan_female_iron_islander;Lord Stewardess;;;;;;;;;;;;;x
city_king_job_castellan_iron_islander;High Steward;;;;;;;;;;;;;x
city_king_job_castellan_female_iron_islander;High Stewardess;;;;;;;;;;;;;x
city_job_castellan_iron_islander;Steward;;;;;;;;;;;;;x
city_job_castellan_female_iron_islander;Steward;;;;;;;;;;;;;x

# TREASURER
emperor_job_treasurer_iron_islander;Master of Coin;;;;;;;;;;;;;x
emperor_job_treasurer_female_iron_islander;Mistress of Coin;;;;;;;;;;;;;x
king_job_treasurer_iron_islander;Master of Coin;;;;;;;;;;;;;x
king_job_treasurer_female_iron_islander;Mistress of Coin;;;;;;;;;;;;;x
job_treasurer_iron_islander;Treasurer;;;;;;;;;;;;;x

# CHANCELLOR
job_chancellor_iron_islander;Master of Laws;;;;;;;;;;;;;x
job_chancellor_female_iron_islander;Mistress of Laws;;;;;;;;;;;;;x

# MARSHAL
job_marshal_iron_islander;Captain of the Fleet;;;;;;;;;;;;;x

