#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_ajoncourt;Ajoncourt;Ajoncourt;Ajoncourt;;Ajoncourt;;;;;;;;;x
c_ajoncourt_adj;Ajoncourtian;;ajoncourter;;;;;;;;;;;x
c_alta;Alta;Alta;Alta;;Alta;;;;;;;;;x
c_alta_adj;Altan;;alter;;;;;;;;;;;x
c_andalos;Andalos;Andalos;Andalos;;Andalos;;;;;;;;;x
c_andalos_adj;Andalosian;;andaloser;;;;;;;;;;;x
c_arduino;Arduino;Arduino;Arduino;;Arduino;;;;;;;;;x
c_arduino_adj;Arduinian;;arduiner;;;;;;;;;;;x
c_ascros;Ascros;Ascros;Ascros;;Ascros;;;;;;;;;x
c_ascros_adj;Ascrosian;;ascroser;;;;;;;;;;;x
c_ashwood;Ashwood;Ashwood;Ashwood;;Ashwood;;;;;;;;;x
c_ashwood_adj;Ashwoodian;;ashwooder;;;;;;;;;;;x
c_astori;Astori;Astori;Astori;;Astori;;;;;;;;;x
c_astori_adj;Astorian;;astorer;;;;;;;;;;;x
c_augusti;Augusti;Augusti;Augusti;;Augusti;;;;;;;;;x
c_augusti_adj;Augustian;;auguster;;;;;;;;;;;x
c_baelish_keep;Baelish Keep;Baelish Keep;Baelish Keep;;Baelish Keep;;;;;;;;;x
c_baelish_keep_adj;Baelish Keepian;;Baelish Keeper;;;;;;;;;;;x
c_baels_hold;Bael's Hold;Bael's Hold;Bael's Hold;;Bael's Hold;;;;;;;;;x
c_baels_hold_adj;Baels Holdian;;Bael's Holder;;;;;;;;;;;x
c_baracca;Baracca;Baracca;Baracca;;Baracca;;;;;;;;;x
c_baracca_adj;Baraccan;;baraccer;;;;;;;;;;;x
c_battered_isle;Battered Isle;Battered Isle;Battered Isle;;Battered Isle;;;;;;;;;x
c_battered_isle_adj;Battered Islean;;Battered Isler;;;;;;;;;;;x
c_battista;Battista;Battista;Battista;;Battista;;;;;;;;;x
c_battista_adj;Battistan;;battister;;;;;;;;;;;x
c_belham;Belham;Belham;Belham;;Belham;;;;;;;;;x
c_belham_adj;Belhamian;;belhamer;;;;;;;;;;;x
c_berico;Berico;Berico;Berico;;Berico;;;;;;;;;x
c_berico_adj;Berician;;bericer;;;;;;;;;;;x
c_blackford;Blackford;Blackford;Blackford;;Blackford;;;;;;;;;x
