#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_andalos;Andalos;Andalos;Andalos;;Andalos;;;;;;;;;x
d_andalos_adj;Andalosian;;andaloser;;;;;;;;;;;x
d_bandallon;Bandallon;Bandallon;Bandallon;;Bandallon;;;;;;;;;x
d_bandallon_adj;Bandallonian;;bandalloner;;;;;;;;;;;x
d_barren_plains;Barren Plains;Barren Plains;Barren Plains;;Barren Plains;;;;;;;;;x
d_barren_plains_adj;Barren Plainsian;;Barren Plainser;;;;;;;;;;;x
d_barrowton;Barrowton;Barrowton;Barrowton;;Barrowton;;;;;;;;;x
d_barrowton_adj;Barrowtonian;;barrowtoner;;;;;;;;;;;x
d_bear_island;Bear Island;Bear Island;Bear Island;;Bear Island;;;;;;;;;x
d_bear_island_adj;Bear Islandian;;Bear Islander;;;;;;;;;;;x
d_beyond_d_id_1;Beyond D ID 1;Beyond D ID 1;Beyond D ID 1;;Beyond D ID 1;;;;;;;;;x
d_beyond_d_id_1_adj;Beyond D ID 1ian;;Beyond D ID 1er;;;;;;;;;;;x
d_bitterbridge;Bitterbridge;Bitterbridge;Bitterbridge;;Bitterbridge;;;;;;;;;x
d_bitterbridge_adj;Bitterbridgean;;bitterbridger;;;;;;;;;;;x
d_blackcrown;Blackcrown;Blackcrown;Blackcrown;;Blackcrown;;;;;;;;;x
d_blackcrown_adj;Blackcrownian;;blackcrowner;;;;;;;;;;;x
d_blackwater_bay;Blackwater Bay;Blackwater Bay;Blackwater Bay;;Blackwater Bay;;;;;;;;;x
d_blackwater_bay_adj;Blackwater Baian;;Blackwater Baer;;;;;;;;;;;x
d_blackwater_shore;Blackwater Shore;Blackwater Shore;Blackwater Shore;;Blackwater Shore;;;;;;;;;x
d_blackwater_shore_adj;Blackwater Shorean;;Blackwater Shorer;;;;;;;;;;;x
d_bloodstone;Bloodstone;Bloodstone;Bloodstone;;Bloodstone;;;;;;;;;x
d_bloodstone_adj;Bloodstonean;;bloodstoner;;;;;;;;;;;x
d_bloody_crescent;Bloody Crescent;Bloody Crescent;Bloody Crescent;;Bloody Crescent;;;;;;;;;x
d_bloody_crescent_adj;Bloody Crescentian;;Bloody Crescenter;;;;;;;;;;;x
d_braavos;Braavos;Braavos;Braavos;;Braavos;;;;;;;;;x
d_braavos_adj;Braavosian;;braavoser;;;;;;;;;;;x
d_brandons_gift;Brandon's Gift;Brandon's Gift;Brandon's Gift;;Brandon's Gift;;;;;;;;;x
d_brandons_gift_adj;Brandons Giftian;;Brandon's Gifter;;;;;;;;;;;x
d_brightwater;Brightwater;Brightwater;Brightwater;;Brightwater;;;;;;;;;x
d_brightwater_adj;Brightwaterian;;brightwaterer;;;;;;;;;;;x
d_broken_arm;Broken Arm;Broken Arm;Broken Arm;;Broken Arm;;;;;;;;;x
d_broken_arm_adj;Broken Armian;;Broken Armer;;;;;;;;;;;x
d_casterly_rock;Casterly Rock;Casterly Rock;Casterly Rock;;Casterly Rock;;;;;;;;;x
d_casterly_rock_adj;Casterly Rockian;;Casterly Rocker;;;;;;;;;;;x
d_cottenham;Cottenham;Cottenham;Cottenham;;Cottenham;;;;;;;;;x
d_cottenham_adj;Cottenhamian;;cottenhamer;;;;;;;;;;;x
d_crackclaw_point;Crackclaw Point;Crackclaw Point;Crackclaw Point;;Crackclaw Point;;;;;;;;;x
d_crackclaw_point_adj;Crackclaw Pointian;;Crackclaw Pointer;;;;;;;;;;;x
d_crastors_keep;Crastor's Keep;Crastor's Keep;Crastor's Keep;;Crastor's Keep;;;;;;;;;x
d_crastors_keep_adj;Crastors Keepian;;Crastor's Keeper;;;;;;;;;;;x
d_deepwood_motte;Deepwood Motte;Deepwood Motte;Deepwood Motte;;Deepwood Motte;;;;;;;;;x
d_deepwood_motte_adj;Deepwood Mottean;;Deepwood Motter;;;;;;;;;;;x
d_dragonstone;Dragonstone;Dragonstone;Dragonstone;;Dragonstone;;;;;;;;;x
d_dragonstone_adj;Dragonstonean;;dragonstoner;;;;;;;;;;;x
d_dreadfort;Dreadfort;Dreadfort;Dreadfort;;Dreadfort;;;;;;;;;x
d_dreadfort_adj;Dreadfortian;;dreadforter;;;;;;;;;;;x
d_duchy_id_10;Duchy ID 10;Duchy ID 10;Duchy ID 10;;Duchy ID 10;;;;;;;;;x
d_duchy_id_10_adj;Duchy ID 10ian;;Duchy ID 10er;;;;;;;;;;;x
d_duchy_id_100;Duchy ID 100;Duchy ID 100;Duchy ID 100;;Duchy ID 100;;;;;;;;;x
d_duchy_id_100_adj;Duchy ID 100ian;;Duchy ID 100er;;;;;;;;;;;x
d_duchy_id_11;Duchy ID 11;Duchy ID 11;Duchy ID 11;;Duchy ID 11;;;;;;;;;x
d_duchy_id_11_adj;Duchy ID 11ian;;Duchy ID 11er;;;;;;;;;;;x
d_duchy_id_111;Duchy ID 111;Duchy ID 111;Duchy ID 111;;Duchy ID 111;;;;;;;;;x
d_duchy_id_111_adj;Duchy ID 111ian;;Duchy ID 111er;;;;;;;;;;;x
d_duchy_id_114;Duchy ID 114;Duchy ID 114;Duchy ID 114;;Duchy ID 114;;;;;;;;;x
d_duchy_id_114_adj;Duchy ID 114ian;;Duchy ID 114er;;;;;;;;;;;x
d_duchy_id_117;Duchy ID 117;Duchy ID 117;Duchy ID 117;;Duchy ID 117;;;;;;;;;x
d_duchy_id_117_adj;Duchy ID 117ian;;Duchy ID 117er;;;;;;;;;;;x
d_duchy_id_12;Duchy ID 12;Duchy ID 12;Duchy ID 12;;Duchy ID 12;;;;;;;;;x
d_duchy_id_12_adj;Duchy ID 12ian;;Duchy ID 12er;;;;;;;;;;;x
d_duchy_id_121;Duchy ID 121;Duchy ID 121;Duchy ID 121;;Duchy ID 121;;;;;;;;;x
d_duchy_id_121_adj;Duchy ID 121ian;;Duchy ID 121er;;;;;;;;;;;x
d_duchy_id_122;Duchy ID 122;Duchy ID 122;Duchy ID 122;;Duchy ID 122;;;;;;;;;x
d_duchy_id_122_adj;Duchy ID 122ian;;Duchy ID 122er;;;;;;;;;;;x
d_duchy_id_124;Duchy ID 124;Duchy ID 124;Duchy ID 124;;Duchy ID 124;;;;;;;;;x
d_duchy_id_124_adj;Duchy ID 124ian;;Duchy ID 124er;;;;;;;;;;;x
d_duchy_id_126;Duchy ID 126;Duchy ID 126;Duchy ID 126;;Duchy ID 126;;;;;;;;;x
d_duchy_id_126_adj;Duchy ID 126ian;;Duchy ID 126er;;;;;;;;;;;x
d_duchy_id_129;Duchy ID 129;Duchy ID 129;Duchy ID 129;;Duchy ID 129;;;;;;;;;x
d_duchy_id_129_adj;Duchy ID 129ian;;Duchy ID 129er;;;;;;;;;;;x
