#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_beyond_the_wall;Beyond the Wall;Beyond the Wall;Beyond the Wall;;Beyond the Wall;;;;;;;;;x
e_beyond_the_wall_adj;Wildling;Wildling;Wildling;;Wildling;;;;;;;;;x
e_braavos;Braavos;Braavos;Braavos;;Braavos;;;;;;;;;x
e_braavos_adj;Braavosi;Braavosi;Braavosi;;Braavosi;;;;;;;;;x
e_dorne;Dorne;Dorne;Dorne;;Dorne;;;;;;;;;x
e_dorne_adj;Dornish;Dornish;Dornish;;Dornish;;;;;;;;;x
e_the_dusklands;The Dusklands;The Dusklands;The Dusklands;;The Dusklands;;;;;;;;;x
e_the_dusklands_adj;Dusklander;Dusklander;Dusklander;;Dusklander;;;;;;;;;x
e_the_iron_islands;The Iron Islands;The Iron Islands;The Iron Islands;;The Iron Islands;;;;;;;;;x
e_the_iron_islands_adj;Ironborn;Ironborn;Ironborn;;Ironborn;;;;;;;;;x
e_the_north;The North;The North;The North;;The North;;;;;;;;;x
e_the_north_adj;Northmen;Northmen;Northmen;;Northmen;;;;;;;;;x
e_the_reach;The Reach;The Reach;The Reach;;The Reach;;;;;;;;;x
e_the_reach_adj;Reachmen;Reachmen;Reachmen;;Reachmen;;;;;;;;;x
e_the_riverlands;The Riverlands;The Riverlands;The Riverlands;;The Riverlands;;;;;;;;;x
e_the_riverlands_adj;Riverlander;Riverlander;Riverlander;;Riverlander;;;;;;;;;x
e_the_stepstones_the_narrow_sea;The Stepstones & The Narrow Sea;The Stepstones & The Narrow Sea;The Stepstones & The Narrow Sea;;The Stepstones & The Narrow Sea;;;;;;;;;x
e_the_stepstones_the_narrow_sea_adj;The Stepstonesian;The Stepstonesian;The Stepstonesian;;The Stepstonesian;;;;;;;;;x
e_the_stormlands;The Stormlands;The Stormlands;The Stormlands;;The Stormlands;;;;;;;;;x
e_the_stormlands_adj;Stormlander;Stormlander;Stormlander;;Stormlander;;;;;;;;;x
e_the_vale;The Vale;The Vale;The Vale;;The Vale;;;;;;;;;x
e_the_vale_adj;Valemen;Valemen;Valemen;;Valemen;;;;;;;;;x
e_the_westerlands;The Westerlands;The Westerlands;The Westerlands;;The Westerlands;;;;;;;;;x
e_the_westerlands_adj;Westerlander;Westerlander;Westerlander;;Westerlander;;;;;;;;;x
e_valyrian_freehold;Valyrian Freehold;Valyrian Freehold;Valyrian Freehold;;Valyrian Freehold;;;;;;;;;x
e_valyrian_freehold_adj;Valyrian;Valyrian;Valyrian;;Valyrian;;;;;;;;;x
