tb_hillfort_1;Earth Hillfort;;;;;;;;;;;;x
tb_hillfort_2;Ditched Hillfort;;;;;;;;;;;;x
tb_hillfort_3;Wooden Hillfort;;;;;;;;;;;;x
tb_hillfort_4;Palisade Hillfort;;;;;;;;;;;;x
tb_hillfort_5;Reinforced Hillfort;;;;;;;;;;;;x
tb_hillfort_6;Layered Hillfort;;;;;;;;;;;;x
tb_hillfort_7;Stone Hillfort;;;;;;;;;;;;x
tb_hillfort_8;Fortified Stone Hillfort;;;;;;;;;;;;x
tb_hillfort_1_desc;A simple earthen hillfort will provide limited defence against our enemies.;;;;;;;;;;;;x
tb_hillfort_2_desc;Ditches around the outside of the hillfort will impede enemy attacks.;;;;;;;;;;;;x
tb_hillfort_3_desc;With wooden walls our hillfort will provide even more defence.;;;;;;;;;;;;x
tb_hillfort_4_desc;Smaller and tighter palisades will make our hillfort more resistant to attack.;;;;;;;;;;;;x
tb_hillfort_5_desc;Reinforcing our wooden palisades with stone will strengthen the fort.;;;;;;;;;;;;x
tb_hillfort_6_desc;Multiple layers of defence will provide strong defence against our enemies.;;;;;;;;;;;;x
tb_hillfort_7_desc;With the use of stone walls our hillfort will stand strong.;;;;;;;;;;;;x
tb_hillfort_8_desc;Our hillfort has stands as a imposing, formidable fortress.;;;;;;;;;;;;x
tb_roman_fort_1;Reoccupied Roman Fort;;;;;;;;;;;;x
tb_roman_fort_1_desc;While somehwat rundown, this former Roman fort still provides a decent fortification for the area.;;;;;;;;;;;;x
tb_roman_fort_2;Restored Roman Fort;;;;;;;;;;;;x
tb_roman_fort_2_desc;This former Roman fort has been fully restored and provides a formidable defence to the province.;;;;;;;;;;;;x
tb_market_town_1_desc;Establishing a permanent hamlet in our settlement is essential in order to improve our trade.;;;;;;;;;;;;x
tb_market_town_2_desc;The hamlet has grown into a small village in the settlement.;;;;;;;;;;;;x
tb_market_town_3_desc;A small market in the village will enhance trade in the province.;;;;;;;;;;;;x
tb_market_town_4_desc;Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.;;;;;;;;;;;;x
tb_market_town_5_desc;As the town grows, so does the flow of merchants and the trade that comes along with them.\n§Y25%§! chance of creating a city upon adopting an urban government, if there are currently no cities in the province.;;;;;;;;;;;;x
tb_market_town_6_desc;With some coin, the town will grow into a city with many traders and will improve our trade.\n§Y50%§! chance of creating a city upon adopting an urban government, if there are currently no cities in the province.;;;;;;;;;;;;x
tb_market_town_7_desc;The city will grow large and hold many trade posts, as any trade centre ought to.\n§Y75%§! chance of creating a city upon adopting an urban government, if there are currently no cities in the province.;;;;;;;;;;;;x
tb_market_town_8_desc;Merchants from far and wide frequent this thriving city.\n§Y100%§! chance of creating a city upon adopting an urban government, if there are currently no cities in the province.;;;;;;;;;;;;x
tb_market_town_1;Hamlet;;;;;;;;;;;;x
tb_market_town_2;Small Village;;;;;;;;;;;;x
tb_market_town_3;Market Village;;;;;;;;;;;;x
tb_market_town_4;Market Town;;;;;;;;;;;;x
tb_market_town_5;Large Market Town;;;;;;;;;;;x
tb_market_town_6;Market City;;;;;;;;;;;;x
tb_market_town_7;Large Market City;;;;;;;;;;;;x
tb_market_town_8;Trading Hub;;;;;;;;;;;;x
tb_shipyard_5;Shipbuilder;;;;;;;;;;;;x
tb_training_grounds_5;Training Grounds;;;;;;;;;;;;x
tb_training_grounds_6;Training Grounds;;;;;;;;;;;;x
tb_militia_barracks_5;Militia Barracks;;;;;;;;;;;;x
tb_militia_barracks_6;Militia Barracks;;;;;;;;;;;;x
tb_war_camp_5;War Camp;;;;;;;;;;;;x
tb_war_camp_6;War Camp;;;;;;;;;;;;x
tb_practice_range_5;Practice Range;;;;;;;;;;;;x
tb_practice_range_6;Practice Range;;;;;;;;;;;;x
tb_arsenal_5;Weaponsmith;;;;;;;;;;;;x
tb_arsenal_6;Weaponsmith;;;;;;;;;;;;x
tb_warrior_cult;Pictish Tribal Gathering;;;;;;;;;;;;x
tb_samarobriva_hall;Frankish War Hall;;;;;;;;;;;;x
tb_saxon_war_hall_1;Warriors Hall;;;;;;;;;;;;x
tb_saxon_war_hall_2;Warriors Gathering Grounds;;;;;;;;;;;;x
tb_foederati_stronghold;Foederati Stronghold;;;;;;;;;;;;x
tb_irish_war_hall_1;Gallóglaigh Courtyard;;;;;;;;;;;;x
tb_irish_war_hall_2;Gallóglaigh War Hall;;;;;;;;;;;;x
tb_norse_war_hall_1;Viking War Hall;;;;;;;;;;;;x
tb_norse_war_hall_2;Great Viking War Hall;;;;;;;;;;;;x
tb_norse_war_hall_port_1;Viking War Hall;;;;;;;;;;;;x
tb_norse_war_hall_port_2;Great Viking War Hall;;;;;;;;;;;;x
tb_stone_of_dumnonia;Royal Stone of Dumnonia;;;;;;;;;;;;x
tb_vallum_aelium;Vallum Aelium;;;;;;;;;;;;x
tb_magnis_fort;Magnis Roman Fort;;;;;;;;;;;;x
tb_merlin_tower;Tor of Merlin;;;;;;;;;;;;x
tb_sulis_baths;Baths of Aquae Sulis;;;;;;;;;;;;x
tb_dumbarton_rock;Dumbarton Rock;;;;;;;;;;;;x
tb_heorot_hall;Mead Hall of Heorot;;;;;;;;;;;;x
tb_health_1;Primitive Blackwater Drains;;;;;;;;;;;;x
tb_health_2;Blackwater Drains;;;;;;;;;;;;x
tb_farms_1;Local Farmland;;;;;;;;;;;;x
