ca_marchercastle;Marcher Castle;;;;;;;;;;x,,,,,,
ca_marchercastle_desc;The castles of the Dornish Marches are among the strongest of the realm, and for good reason, for seldom has a generation passed when they have not faced some new attack. They were established to create a bulwark against incursons from the Dornish and the Kings of the Reach. The Marcher lords are duly proud of their history as key defenders of the realm of the Storm Kings, and many are ballads and tales of their valor.\n\nThe longbows of the Marches are especially famed, and many of the most famous bowmen of song and history are said to hail from the Dornish Marches.;;;;;;;;;;;x,,
ca_winterfell;Winterfell;;;;;;;;;;;;;,,,,,,
ca_winterfell_desc;To the descendants of the First Men Winterfell is not just a castle, it is a legend. It was supposedly built by Brandon the Builder over eight thousand years ago with the help of giants and for most of recorded history has been the seat of House Stark. \n\nIt is positioned over hot springs that not only provide a continuous supply of fresh water, but also heats the castle and its environs through even the harshest winter.;;;;;;;;;;;;;,,,,
ca_dreadfort;The Dreadfort;;;;;;;;;;;;;,,,,,,
ca_dreadfort_desc;The Dreadfort is a strong fortress that has served as the seat of House Bolton for centuries, if not longer. \n\nIt has a dark reputation and is said to contain secret torture rooms and hidden galleries that display the flayed skins of the Bolton's enemies.;;;;;;;;;;;;;,,,,,
ca_greatbarrow;The Great Barrow;;;;;;;;;;;;;,,,,,,
ca_greatbarrow_desc;The Great Barrow is the hill upon which is built the castle of House Dustin is built. It is said to be the resting place of the First King of the First Men. It is a sacred place to all the followers of the Old Gods.;;;;;;;;;;;;;,,,,,,
ca_smallbarrow;The Barrowlands;;;;;;;;;;;;;,,,,,,
ca_smallbarrow_desc;The barrowlands is a region of wide, hilly plains covered with barrows, the ancient graves of the First Men.;;;;;;;;;;;;;,,,,
ca_wolfswood;The Wolfswood;;;;;;;;;;;;;,,,,,,
ca_wolfswood_desc;The wood harvested in the deep forests of the North is valued by merchants on both sides of the Narrow Sea for its sturdiness, a trait that makes it ideal for the process of building warships.;;;;;;;;;;;;;,,,,,
ca_riverrun;Riverrun;;;;;;;;;;;;;,,,,,,
ca_riverrun_desc;Riverrun is a strong three-sided castle. The castle is bordered on the north by the Tumblestone and on the south by the Red Fork, while on the west a third side faces a massive man-made ditch. In time of danger the sluice gates can be opened to fill a wide moat and leave the castle surrounded on all three sides by water, turning Riverrun into an island and leaving it practically unassailable. It commands a view of many leagues. \n\nThe strategic position of Riverrun brought wealth to the Tullys;;;;;;;;;;;;;,,,,
ca_castamere;Castamere;;;;;;;;;;;;;,,,,,,
ca_castamere_desc;To the naked eye Castamere seemed a modest holding, fit for only a small Lord or a Landed Knight, the truth however was that nine tenths of the castle was beneath ground.;;;;;;;;;;;;;,,,,
ca_hightower;The Hightower;;;;;;;;;;;;;,,,,,,
ca_hightower_desc;The Hightower stands tall in the center of Oldtown. It is a massive stepped tower with a beacon on top to guide ships into port. It is the tallest structure in the Seven Kingdoms and some claim that the Wall can be seen from its top.;;;;;;;;;;;;;,,,,,,
ca_ironwood;Ironwood Forest;;;;;;;;;;;;;,,,,,,
ca_ironwood_desc;Ironwood is a type of tree found in the North, it is a hard and black wood that is extremely durable and provides a strong material for building construction. Ironrath control the largest ironwood forest and use it as a source of income to sell and also as a building material to create their strong keep.;;;;;;;;;;;;;,,,,,
ca_rainwood;Rainwood Forest;;;;;;;;;;;;;,,,,,,
ca_rainwood_desc;The Rainwood is a large forest that lies on Cape Wrath in the Stormlands. Although it is rainy, the region is fertile enough;;;;;;;;;;;;;,,,,,
ca_kingswood;The Kingswood;;;;;;;;;;;;;,,,,,,
ca_kingswood_desc;The kingswood is a large forest that lies across the Blackwater Rush from King's Landing. It is in the southern crownlands and the northern stormlands and is traversed by the kingsroad. Originating from a narrow lake in the forest, the Wendwater is the largest river in the kingswood. The kingswood contains a private hunting area for the King on the Iron Throne. However, some smallfolk live in the forest. Although it is rainy, the region is fertile enough.;;;;;;;;;;;;;,,,
ca_hammerhorn_mine;Hammerhorn Mines;;;;;;;;;;;;x,,,,,,
ca_hammerhorn_mine_desc;The wealth of Hammerhorn comes not from the Sunset Sea, but from a number of iron mines situated in the Hardstone Hills.;;;;;;;;;;;;x,,,,,
ca_casterly_rock;Casterly Rock;Castral Roc;;;;;;;;;;;;x,,,,,,
ca_casterly_rock_desc;Casterly Rock, the fortress is carved out of a great stone hill and its natural defences are further enhanced with walls and other structures. It is tunnelled through with halls and chambers, with a huge keep at its peak. It is the second-largest castle in the realm with some of the strongest defences in the world.;;;;;;;;;;;;;x,,,,
ca_moat_cailin;Moat Cailin;;;;;;;;;;;;;x,,,,,,
ca_moat_cailin_desc;Moat Cailin is a stronghold of the First Men on the northern edge of the great swamp known as the Neck, in the North. It is one of the North's most important strongholds, though much of it now stands in need of repair. Its importance stems from the fact that it commands the causeway, which is the safe route for armies to travel through the swamps of the Neck.\n\nMoat Cailin is an effective natural choke point which has protected the North from southern invasion for many years. The remaining three towers of the castle command the causeway from all sides and enemies must pass between them. Attackers would have to face constant fire from the other towers should they attempt to attack any one tower, wading through chest deep water and crossing a moat.;;;;;;;;;;;;;x,,
ca_wallportion;The Wall;;;;;;;;;;;;;x,,,,,,
ca_wallportion_desc;The Wall is a massive barrier of mostly ice stretching across the northern border of the Seven Kingdoms," separating it from the wild lands beyond.""","The Wall is three hundred miles long and reaches over seven hundred feet at his highest point, although some foundation blocks in hilly regions, such as near Greyguard,",send it nine hundred feet in the air.;;;;;;;;;;;;;x,,,
ca_ironwood;Ironwood Forest;;;;;;;;;;;;;;x,,,,,,
ca_ironwood_desc;Ironwood is a type of tree found in the North, it is a hard and black wood that is extremely durable and provides a strong material for building construction. House Forrester of Ironrath control the largest ironwood forest and use it as a source of income to sell and also as a building material to create their strong keep.;;;;;;;;;;;;;x,,,,,
ca_storms_end;Storm's End;;;;;;;;;;;;;;x,,,,,,
ca_storms_end_desc;One of the strongest castles in the realm,Storm's End was once the ancestral seat of the Storm Kings of House Durrandon extending back many thousands of years. The castle is said to be protected by spells woven into its very walls that prevent magic from affecting it or passing through it.;;;;;;;;;;;;;;x,,,,,
ca_starfall;Starfall;;;;;;;;;;;;;;;;x,,,,,,
