#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,
nights_watch_government;Night's Watch;;;;;;;;;x,
nights_watch_government_DESC;The Night's Watch, established as a shield against the wildlings and the fabled others.;;;;;;;;;x
brother_count;Black Brother;;;;;;;;;x,
brother_duke;Lord Commander;;;;;;;;;x,
brother_king;High Lord Commander;;;;;;;;;x,
brother_emperor;Supreme Lord Commander;;;;;;;;;x,
wildling_government;Wildling Tribal;;;;;;;;;x,
wildling_government_DESC; ;;;;;;;;;x,
wildling_count;Placeholder Count;;;;;;;;;x,
wildling_duke;Placeholder Duke;;;;;;;;;x,
wildling_king;Placeholder King;;;;;;;;;x,
wildling_emperor;Placeholder High King;;;;;;;;;x,
freehold_government;Freehold;;;;;;;;;x,
gov_hereditary_absolute_freehold;The Freehold;;;;;;;;;x,
gov_nights_watch;The Night's Watch;;;;;;;;;x,
