#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
world_essos;Essos;;;;;;;;;;;;;x
world_essos_nosteps;Essos (No Stepstones);;;;;;;;;;;;;x
world_valyria;Valyria;;;;;;;;;;;;;x
world_the_stepstones;The Stepstones;;;;;;;;;;;;;x
world_braavos;Braavos;;;;;;;;;;;;;x
world_westeros;Westeros;;;;;;;;;;;;;x
world_westeros_north_south;The North & The South;;;;;;;;;;;;;x
world_the_south;The South;;;;;;;;;;;;;x
world_the_south_nodorne;The South (No Dorne);;;;;;;;;;;;;x
world_the_north_beyond;The North & Beyond the Wall;;;;;;;;;;;;;x
world_the_westerlands;The Westerlands;;;;;;;;;;;;;x
world_dorne;Dorne;;;;;;;;;;;;;x
world_the_reach;The Reach;;;;;;;;;;;;;x
world_the_stormlands;The Stormlands;;;;;;;;;;;;;x
world_the_blackwater;The Blackwater;;;;;;;;;;;;;x
world_the_vale;The Vale;;;;;;;;;;;;;x
world_the_riverlands;The Riverlands;;;;;;;;;;;;;x
world_the_iron_islands;The Iron Islands;;;;;;;;;;;;;x
world_the_north;The North;;;;;;;;;;;;;x
world_the_wall;The Wall;;;;;;;;;;;;;x
world_beyond_the_wall;Beyond the Wall;;;;;;;;;;;;;x
