#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
the_seven_group;Faith of the Seven;Faith of the Seven;Faith of the Seven;;Faith of the Seven;;;;;;;;;x
the_seven;Faith of the Seven;Faith of the Seven;Faith of the Seven;;Faith of the Seven;;;;;;;;;x
the_seven_gods;The Seven Gods;;;;;;;;;;;;;x
the_mother;The Mother;;;;;;;;;;;;;x
the_stranger;The Stranger;;;;;;;;;;;;;x
westerosi_pagan_group;Westerosi Pagan;;;;;;;;;;;;;x
lady_of_the_shore;Lady of the Shore;;;;;;;;;;;;;x
old_gods;The Old Gods;;;;;;;;;;;;;x
old_gods_beyond;Beyond the Wall Old Gods;;;;;;;;;;;;;x
old_gods_beyond_white;The White Ones;;;;;;;;;;;;;x
drowned_god_group;Iron Isles;;;;;;;;;;;;;x
drowned_god;The Drowned God;;;;;;;;;;;;;x
storm_god;The Storm God;;;;;;;;;;;;;x
eastern_group;Essossi;;;;;;;;;;;;;x
rhllor;R'hllor;;;;;;;;;;;;;x
moonsingers;Moonsingers;;;;;;;;;;;;;x
faceless_men;Faceless God;;;;;;;;;;;;;x
valyrian_group;Valyrian;;;;;;;;;;;;;x
valyrian;Valyrian;;;;;;;;;;;;;x
the_dragon_gods;The Dragon Gods;;;;;;;;;;;;;x
eastern_pagan_group;Essossi Pagan;;;;;;;;;;;;;x
the_weeping_lady;The Weeping Lady;;;;;;;;;;;;;x
lady_of_the_rocks;The Lady of the Rocks;;;;;;;;;;;;;x
black_flag;Men of the Black Flag;;;;;;;;;;;x
bearded_priests;The Bearded Priests;;;;;;;;;;;;;x
bearded_priests_reformed;The Fellowship of the Blade;;;;;;;;;;;x
boashi;Boash'i;;;;;;;;;;;;;x
boashi_reformed;The Greater Way of Boash'i;;;;;;;;;;;x
trios;Trios;;;;;;;;;;;;;x
vulture_god;The Vulture;;;;;;;;;;;;;x
lady_of_the_waves;The Lady of The Waves;;;;;;;;;;;;;x
maiden_of_the_harvest;Maiden of the Harvest;;;;;;;;;;;;;x
HOLY_VENTURE;Holy Venture;;;;;;;;;;;;;x
THE_SEVEN_POINTED_STAR;The Seven Pointed Star;;;;;;;;;;;;;x
SEPTON;Septon;;;;;;;;;;;;;x
THE_SEVEN;The Seven;The Seven;The Seven;;The Seven;;;;;;;;;x
THE_MOTHER;The Mother;;;;;;;;;;;;;x
THE_FATHER;The Father;;;;;;;;;;;;;x
THE_SMITH;The Smith;;;;;;;;;;;;;x
THE_MAIDEN;The Maiden;;;;;;;;;;;;;x
THE_CRONE;The Crone;;;;;;;;;;;;;x
THE_WARRIOR;The Warrior;;;;;;;;;;;;;x
THE_STRANGER;The Stranger;;;;;;;;;;;;;x
POPE;High Septon;;;;;;;;;;;;;x
FATHER;The Father;;;;;;;;;;;;;x
other_group;Eastern Faiths;;;;;;;;;;;x
dothraki;Dothraki;;;;;;;;;;;x
rhoynar;Rhoynar;;;;;;;;;;;x
harpy;Harpy;;;;;;;;;;;x
GOD_THE_CREATOR;The Creator;;;;;;;;;;;x
GOD_THE_SPIRITS;The Spirits;;;;;;;;;;;x
GOD_THE_ANCESTORS;The Ancestors;;;;;;;;;;;x
THE_DARK_SPIRITS;The Dark Spirits;;;;;;;;;;;x
GREAT_HOLY_WAR;Great War of Submission;;;;;;;;;;;x
THE_LEGENDS;The Legends;;;;;;;;;;;x
PRIEST;Priest;;;;;;;;;;;x
GOD_MOTHER_RHOYNE;Mother Rhoyne;;;;;;;;;;;x
GOD_OLD_MAN_RIVER;Old Man River;;;;;;;;;;;x
GOD_CRAB_KING;Crab King;;;;;;;;;;;x
GOD_THE_OTHERS;The Others;;;;;;;;;;;x
GOD_THE_DEMONS;The Demons;;;;;;;;;;;x
THE_SAGAS;The Sagas;;;;;;;;;;;x
GOD_THE_GODS;The Gods;;;;;;;;;;;x
GOD_HARPY;Harpy;;;;;;;;;;;x
THE_SCRIPTURES;The Scriptures;;;;;;;;;;;x
