#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WESTEROS_RULER;High King;;;;;;;;;;;;;x
WESTEROS_RULER_F;High Queen;;;;;;;;;;;;;x
DORNE_RULER;Prince;;;;;;;;;;;;;x
DORNE_RULER_F;Princess;;;;;;;;;;;;;x
HELLHOLT_RULER;Desert Prince;;;;;;;;;;;;;x 
HELLHOLT_RULER_F;Desert Princess;;;;;;;;;;;;;x
RED_MOUNTAINS_RULER;Bone King;;;;;;;;;;;;;x
RED_MOUNTAINS_RULER_F;Bone Queen;;;;;;;;;;;;;x
BONEWAY_RULER;Bone King;;;;;;;;;;;;;x
BONEWAY_RULER_F;Bone Queen;;;;;;;;;;;;;;x
SCOURGE_RULER;Scourger;;;;;;;;;;;;;;x
SCOURGE_RULER_F;Scourger;;;;;;;;;;;;;;x 
DUSKLAND_RULER;Shadow King;;;;;;;;;;;;;;x 
DUSKLAND_RULER_F;Shadow Queen;;;;;;;;;;;;;;x 
CRACKCLAW_RULER;Claw King;;;;;;;;;;;;;;x 
CRACKCLAW_RULER_F;Claw Queen;;;;;;;;;;;;;;x 
IRON_ISLES_RULER;Iron King;;;;;;;;;;;;;;x 
IRON_ISLES_RULER_F;Iron Queen;;;;;;;;;;;;;;x 
NORTH_RULER;Winter King;;;;;;;;;;;;;;x 
NORTH_RULER_F;Winter Queen;;;;;;;;;;;;;;x 
STONE_RULER;Stone King;;;;;;;;;;;;;;x 
STONE_RULER_F;Stone Queen;;;;;;;;;;;;;;x 
BARROW_RULER;Barrow King;;;;;;;;;;;;;;x 
BARROW_RULER_F;Barrow Queen;;;;;;;;;;;;;;x 
DREAD_RULER;Red King;;;;;;;;;;;;;;x 
DREAD_RULER_F;Red Queen;;;;;;;;;;;;;;x 
NECK_RULER;Marsh King;;;;;;;;;;;;;;x 
NECK_RULER_F;Marsh Queen;;;;;;;;;;;;;;x 
WOLF_RULER;Wolf King;;;;;;;;;;;;;;x 
WOLF_RULER_F;Wolf Queen;;;;;;;;;;;;;;x 
NIGHTS_WATCH_RULER;Lord Commander;;;;;;;;;;;;;;x 
NIGHTS_WATCH_RULER_F;Commander;;;;;;;;;;;;;;x 
REACH_RULER;Gardener King;;;;;;;;;;;;;;x 
REACH_RULER_F;Gardener Queen;;;;;;;;;;;;;;x 
MANDER_RULER;Marshal;;;;;;;;;;;;;;x 
MANDER_RULER_F;Marshal;;;;;;;;;;;;;;x 
OLDTOWN_RULER;Grey King;;;;;;;;;;;;;;x 
OLDTOWN_RULER_F;Grey Queen;;;;;;;;;;;;;;x 
ARBOR_RULER;Vine King;;;;;;;;;;;;;;x 
ARBOR_RULER_F;Vine Queen;;;;;;;;;;;;;;x 
GOLDEN_GROVE_RULER;Grove King;;;;;;;;;;;;;;x 
GOLDEN_GROVE_RULER_F;Grove Queen;;;;;;;;;;;;;;x 
SHIELD_RULER;Shield King;;;;;;;;;;;;;;x 
SHIELD_RULER_F;Shield Queen;;;;;;;;;;;;;;x 
RIVERLANDS_RULER;River King;;;;;;;;;;;;;;x 
RIVERLANDS_RULER_F;River Queen;;;;;;;;;;;;;;x 
BAY_CLAWS_RULER;Shore King;;;;;;;;;;;;;;x 
BAY_CLAWS_RULER_F;Shore Queen;;;;;;;;;;;;;;x 
EYE_RULER;Just King;;;;;;;;;;;;;;x 
EYE_RULER_F;Just Queen;;;;;;;;;;;;;;x 
MUDD_RULER;Mudd King;;;;;;;;;;;;;;x 
MUDD_RULER_F;Mudd Queen;;;;;;;;;;;;;;x 
FARE_RULER;Fair King;;;;;;;;;;;;;;x 
FARE_RULER_F;Fair Queen;;;;;;;;;;;;;;x 
STORM_RULER; Storm King;;;;;;;;;;;;;;x 
STORM_RULER_F;Storm Queen;;;;;;;;;;;;;;x 
EVENSTAR_RULER;Evenstar;;;;;;;;;;;;;;x 
EVENSTAR_RULER_F;Evenstar;;;;;;;;;;;;;;x 
RAIN_RULER;Rain King;;;;;;;;;;;;;;x 
RAIN_RULER_F;Rain Queen;;;;;;;;;;;;;;x 
