ca_craggon_keep;Craggon Keep;;;;;;;;;;;;;x
ca_craggon_keep_desc;The Craggon, or Men of the Banefort, are those first men that followed and swore feality to the Hooded Man, the founder of not only the keep and kingdom, but also the house of Banefort. An untrustworthy, seclusive people, Craggon keeps are normally placed in secluded, defensible, and make use of stonework much more than usual first man keeps.;;;;;;;;;;;;;x
ca_banefort;The Banefort;;;;;;;;;;;;;x
ca_banefort_desc;The Banefort is the largest and mightiest of all Craggon keeps, and is the ancestral seat of house Banefort. Situated high in the mountains, the Banefort exemplifies all qualities of the people that built it. It would eventually be eclipsed when Morgan Banefort was defeated by Loreon the Lion in his war to conquer the lands of the Rock.;;;;;;;;;;;;;x
ca_dunfort;The Dun Fort;;;;;;;;;;;;;x
ca_dunfort_desc; The Dun Fort is the ancestral seat of house Darklyn, which overlooks Duskendale. the Dun Fort is a large, square keep which boasts an impressive barracks section that houses the fort's large army. The fort is said to have been originally constructed by the First Men natives as a circular hillfort, but was rebuilt by Lord Damon 'Shadowborne' to solidify his family's rule over the surronding lands.;;;;;;;;;;;;;x
ca_duskendale;The Dun Port;;;;;;;;;;;;;x
ca_duskendale_desc;The Dun Port is not actually the city of Duskendale, but the port of the city. Duskendale itself sits at an important trade hub from the Blackwater bay, with ships from Essos arriving daily bringing precious silks and spices, bolstering the wealth of the region. However, such prosperity is a recent happening, as the native First Men did not have the proper infrastructure nor knowledge of Essosi trade to make proper use of the natural harbor they settled. This changed when the Andal Darklyns took control of Duskendale, encouraging trade with the Valyrian Freehold and using their newfound wealth to increase their strength in the Dusklands.;;;;;;;;;;;;;x
ca_storms_end;Storm's End;;;;;;;;;;;;;x
ca_storms_end_desc;Storm's End is the ancestral seat of house Durrandon, built on the cliff overlooking shipbreaker bay, Storm's End's walls extend meters into the sky, and before the construction of the Eyrie and Harrenhal, was considered the most well defender castle in all of Westeros, and was believed to be impossible to take. It is said that Storm's End was constructed by Durran Godsgrief with the help of his wife, Elenei, whom woved spells into it's very walls, protecting it against the mighty storms that ravage shipbreaker bay.;;;;;;;;;;;;;x
ca_boneway_keep;Boneway Keep;;;;;;;;;;;;;x
ca_boneway_keep_desc;The Boneway is a passage between Dorne and the Stormlands, and one of three ways through the Red Mountains. Due to the constant invasions and raiders between the Dornishmen and Stormlanders, several castles have sprung up at key points along the Boneway, guarding the entrances into Dorne or the Stormlands. These Keeps are heavily defended, and the lords that inhabit them are a proud, defensive people.;;;;;;;;;;;;;x
ca_starfall;Starfall;;;;;;;;;;;;;x
ca_starfall_desc;Starfall is the ancestral seat of house Dayne, built on an island in the in the Torentine. According to legend, Starfall was build when Samwell 'Starsmith' first found the magic stone that would become Dawn, the ancestral house sword of Dayne. From that time, Starfall has guarded the western Red Mountains from incursions from the Reach.;;;;;;;;;;;;;x
ca_starpike;Starpike;;;;;;;;;;;;;x
ca_starpike_desc;Starpike is the ancestral seat of house Peake, and overlooks the Prince's Pass, one of three ways into or out of Dorne. Starpike, like many castles built in the Marcher regions, is a well fortified, heavily defended castle. Round in shape, and carved from the mountain itself, Starpike has a celebrated history of defending the Reach's side of the Prince's pass for centuries.;;;;;;;;;;;;;x
ca_horn_hill;Horn Hill;;;;;;;;;;;;;x
ca_horn_hill_desc;Horn Hill, built to guard the Carrion Pass, is the ancestral seat of house Tarly. Less well known, and more treacherous than the Boneway or Prince's pass, the Carrion pass flows around the Torentine, making travelling times longer. Horn Hill was first constructed by the brothers Harlon the Hunter and Herndon of the Horn to serve as the seat of their families, but would eventually find itself being fortified to defend the Reach from Dornish incursions.;;;;;;;;;;;;;x
ca_redwyneshipyard;Arbor Shipyard;;;;;;;;;;;;;x
