#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
wonder_winterfell;Winterfell;;;;;;;;;;;;;x;;
wonder_winterfell_desc;To the descendants of the First Men Winterfell is not just a castle, it is a legend. It was supposedly built by Brandon the Builder over eight thousand years ago with the help of giants and for most of recorded history has been the seat of House Stark. \n\nIt is positioned over hot springs that not only provide a continuous supply of fresh water, but also heats the castle and its environs through even the harshest winter.;;;;;;;;;;;;;;;
wonder_storms_end;Storm's End;;;;;;;;;;;;;;;x
wonder_storms_end_desc;One of the strongest castles in the realm, Storm's End was once the ancestral seat of the Storm Kings of House Durrandon extending back many thousands of years. The castle is said to be protected by spells woven into its very walls that prevent magic from affecting it or passing through it.;;;;;;;;;;;;;;;x
wonder_eyrie;The Eyrie;;;;;;;;;;;;;;;
wonder_eyrie_desc;The Eyrie is an ancient castle and seat of House Arryn, one of the oldest lines of Andal nobility, within the Vale of Arryn. It is situated in the Mountains of the Moon astride the peak known as the Giant's Lance, several thousand feet above the valley below. Although small compared to the seats of other Great Houses in Westeros, the Eyrie is considered impregnable to attack. Its construction was started by Roland Arryn. \n\nDuring winter years, the Arryns seek refuge against the cold at the base of the mountain in the Gates of the Moon.;;;;;;;;;;;;;;;
wonder_casterly_rock;Casterly Rock;Castral Roc;;;;;;;;;;;;;x;
wonder_casterly_rock_desc;Casterly Rock, the fortress is carved out of a great stone hill and its natural defenses are further enhanced with walls and other structures. It is tunneled through with halls and chambers, with a huge keep at its peak. It is the second-largest castle in the realm with some of the strongest defenses in the world.;;;;;;;;;;;;;x;;
wonder_hightower;The Hightower;;;;;;;;;;;;;;;x
wonder_hightower_desc;The Hightower stands tall in the center of Oldtown. It is a massive stepped tower with a beacon on top to guide ships into port. It is the tallest structure in the Seven Kingdoms and some claim that the Wall can be seen from its top.;;;;;;;;;;;;;;;x
upgrade_winterfell_crypt;Winterfell Crypt;;;;;;;;;;;;;x;;
upgrade_winterfell_crypt_desc;Pitch black halls under Winterfell where the Starks have buried their dead.;;;;;;;;;;;;;x;;
wonder_orkmont;Orkmont;;;;;;;;;;;;;;x;;;;;;
wonder_orkmont_desc;Settled by an alliance of Andal warlords that deposed a driftwood king and dispossessed House Greyiron of their birth home, the Hoares of the black blood rose to prominence by allegedly winning the finger dance against Rognar II, seizing Orkmont Castle as their prize and losing only two fingers in the process. This granted them a bare brute of a fortress, situated above a bowl-shaped valley on the hillside, the lower portion flooded as a salt marsh during high tide. The island's landscape as a whole is barren, having been stripped of its forests long ago, and the Hoares rely on a blend of ore extraction, astute trade, savage raids, and permanent conquest against richer domains. Their sigil represents these varied historical holdings, all bound by iron chains.;;;;;;;x;;;;;;;;;;;;;
wonder_cathedral;Great Sept;;;;;;;;;;;;;x;;
wonder_mosque; Great Temple;;;;;;;;;;;;;x;;
wonder_synagogue;Great Temple;;;;;;;;;;;;;x;;
wonder_temple_pagan;Great Ritual Ground;;;;;;;;;;;;;x;;
wonder_mausoleum;Grand Tomb;;;;;;;;;;;;;x;;
wonder_banefort;Banefort;;;;;;;;;;;;;;x;;;;;;
wonder_banefort_desc;The seat of House Banefort in the northwestern westerlands. It is situated along the coast of the Sunset Sea north of the Crag, near the Iron Islands, and is only two days' sail from Pyke. It is one of the largest castles of the Crag.;;;;;;;;;;;;;;x;;;;;;
wonder_eastwatch;Eastwatch-By-The-Sea;;;;;;;;;;;;x;;;;;;;;
wonder_eastwatch_desc;Eastwatch-by-the-Sea is the easternmost castle along the Wall, located on a grey, windswept shore by the Bay of Seals. The Night's Watch keeps several galleys at Eastwatch, including larger vessels capable of crossing the narrow sea and lean fighting vessels. The galleys patrol the Bay of Seals in part to catch smugglers who trade weapons to the wildlings.;;;;;;;;;;;x;;;;;;;;;
