#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_maidens_men;Maiden's Men;;;;;;;;;x
d_ragged_standard;Ragged Standard;;;;;;;;;x
d_second_sons;Second Sons;;;;;;;;;x
d_stormcrows;Stormcrows;;;;;;;;;x
d_long_lances;Long Lances;;;;;;;;;x
d_iron_shields;Iron Shields;;;;;;;;;x
d_gallant_men;Gallant Men;;;;;;;;;x
d_bright_banners;Bright Banners;;;;;;;;;x
d_company_of_the_cat;Company of the Cat;;;;;;;;;;;x
d_fairman;Men of the Fair Isle;;;;;;;;;;;x
d_muddish;Men of the Rivers and the Hills;;;;;;;;;;;x
d_pirate;Pirates of the Stepstones;;;;;;;;;;;x
d_cornlander;Men of the Cornlands;;;;;;;;;;;x
d_salt_dornish;Men of the Salt Shore;;;;;;;;;;;x
d_cavemen;Cavemen Wildlings;;;;;;;;;;;x
d_westerlander;Men of the Westerlands;;;;;;;;;;;x
d_wildling;Wildings of the Lakes;;;;;;;;;;;x
d_high_valyrian;Men of Valyria;;;;;;;;;;;x
d_poor_fellows;Poor Fellows;;;;;;;;;;;x
d_warriors_sons;Order of the Warrior's Sons;;;;;;;;;;;x
