#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
kingswood;Kingswood;;;;;;;;;;;;;x
rainwood;Rainwood;;;;;;;;;;;;;x
mistwood;Mistwood;;;;;;;;;;;;;x
lemonwood;Lemonwood;;;;;;;;;;;;;x
salt;Salt;;;;;;;;;;;;;x
iron;Iron;;;;;;;;;;;;;x
silver;Silver;;;;;;;;;;;;;x
gold;Gold;;;;;;;;;;;;;x
marble;Marble;;;;;;;;;;;;;x
granite;Granite;;;;;;;;;;;;;x
northern_gems;Northern Gemstones;;;;;;;;;;;;;x
diamonds;Diamonds;;;;;;;;;;;;;x
obsidian;Obsidian;;;;;;;;;;;;;x
spices;Spices;;;;;;;;;;;;;x
jewellery;Jewellery;;;;;;;;;;;;;x
precious_fabrics;Precious Fabrics;;;;;;;;;;;;;x
