ct_watch_1;Primitive Local Watch;;;;;;;;;;;;;x
ct_watch_1_desc; ;;;;;;;;;;;;;x
ct_watch_2;Local Watch;;;;;;;;;;;;;x
ct_watch_2_desc; ;;;;;;;;;;;;;x
ct_watch_3;Primitive Town Watch;;;;;;;;;;;;;x
ct_watch_3_desc; ;;;;;;;;;;;;;x
ct_watch_4;Town Watch;;;;;;;;;;;;;x
ct_watch_4_desc; ;;;;;;;;;;;;;x
ct_watch_5;Established Town Watch;;;;;;;;;;;;;x
ct_watch_5_desc; ;;;;;;;;;;;;;x
ct_watch_6;Primitive City Watch;;;;;;;;;;;;;x
ct_watch_6_desc; ;;;;;;;;;;;;;x
ct_watch_7;City Watch;;;;;;;;;;;;;x
ct_watch_7_desc; ;;;;;;;;;;;;;x
ct_watch_8;Established City Watch;;;;;;;;;;;;;x
ct_watch_8_desc; ;;;;;;;;;;;;;x
ct_watch_9;Huge City Watch;;;;;;;;;;;;;x
ct_watch_9_desc; ;;;;;;;;;;;;;x
ct_barracks_1;Small City Garrison;;;;;;;;;;;;;x
ct_barracks_1_desc; ;;;;;;;;;;;;;x
ct_barracks_2;Average City Garrison;;;;;;;;;;;;;x
ct_barracks_2_desc; ;;;;;;;;;;;;;x
ct_barracks_3;Sizeable City Garrison;;;;;;;;;;;;;x
ct_barracks_3_desc; ;;;;;;;;;;;;;x
ct_barracks_4;Huge City Garrison;;;;;;;;;;;;;x
ct_barracks_4_desc; ;;;;;;;;;;;;;x
