tp_administration_basic_1;Religious Court I;;;;;;;;;;;;;x
tp_administration_basic_1_desc; ;;;;;;;;;;;;;x
tp_administration_basic_2;Religious Court II;;;;;;;;;;;;;x
tp_administration_basic_2_desc; ;;;;;;;;;;;;;x
tp_administration_basic_3;Religious Court III;;;;;;;;;;;;;x
tp_administration_basic_3_desc; ;;;;;;;;;;;;;x
tp_administration_basic_4;Religious Court IV;;;;;;;;;;;;;x
tp_administration_basic_4_desc; ;;;;;;;;;;;;;x
tp_administration_basic_5;Religious Court V;;;;;;;;;;;;;x
tp_administration_basic_5_desc; ;;;;;;;;;;;;;x
tp_administration_basic_6;Religious Court VI;;;;;;;;;;;;;x
tp_administration_basic_6_desc; ;;;;;;;;;;;;;x
tp_administration_basic_7;Religious Court VII;;;;;;;;;;;;;x
tp_administration_basic_7_desc; ;;;;;;;;;;;;;x
tp_administration_basic_8;Religious Court VIII;;;;;;;;;;;;;x
tp_administration_basic_8_desc; ;;;;;;;;;;;;;x
tp_administration_basic_9;Religious Court IX;;;;;;;;;;;;;x
tp_administration_basic_9_desc; ;;;;;;;;;;;;;x
tp_administration_basic_10;Religious Court X;;;;;;;;;;;;;x
tp_administration_basic_10_desc; ;;;;;;;;;;;;;x
tp_administration_basic_11;Religious Court XI;;;;;;;;;;;;;x
tp_administration_basic_11_desc; ;;;;;;;;;;;;;x
