#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC12000;I'm far stronger than my peers and even many of the adults around me!;;;;;;;;;x
EVTDESC11001;Become 'Strong';;;;;;;;;x
EVTDESC12002;I'm not as strong as some of those around me, but I'm more than able to hold my ground.;;;;;;;;;x
EVTOPTA11002;Become 'Fit'.;;;;;;;;;x
EVTDESC11003;Ward is Fit.;;;;;;;;;x
EVTOPTA11003;Okay;;;;;;;;;x
EVTDESC12004;I am weak.;;;;;;;;;x
EVTOPTA11004;Become 'Weak'.;;;;;;;;;x
EVTDESC11005;Ward is a weak ass worm.;;;;;;;;;x
EVTOPTA11005;Okay;;;;;;;;;x
