#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC15998;Sometimes I look at myself in the ripples of the water, or comments are made by my friends or rivals about my strength. Sometimes I feel as if their comments ring true...;;;;;;;;;x
EVTOPTA15998;I am...;;;;;;;;;x
EVTDESC_CASE115998;I am strong!;;;;;;;;;x
EVTDESC_CASE215998;I am Fit!;;;;;;;;;x
EVTDESC_CASE315998;I think I am weak...;;;;;;;;;x
EVTDESC_CASE415998;I am average, I guess.;;;;;;;;;x
EVTDESC15999;Others have been making comments about my ward and their strength...;;;;;;;;;x
EVTOPTA15999;They are...;;;;;;;;;x
EVTDESC_CASE115999;They say they are strong for their age.;;;;;;;;;x
EVTDESC_CASE215999;They say they are unusually athletic.;;;;;;;;;x
EVTDESC_CASE315999;They claim they are a little weak...;;;;;;;;;x
EVTDESC_CASE415999;They say they are average for their age.;;;;;;;;;x
EVTOPTD_ZE_99991_TSK;More Options!;;;;;;;;;x
#
EVTDESCTSK_SWR_FEA;A player has asked to swear fealty, but is a King themselves. If you wish to take them as a vassal, you must have an Empire-tier title. To deal with this, accepting will create an Empire Tier title based on your primary title and automatically vassalise them.;;;;;;;;;x
EVTOPTATSK_SWR_FEA1;This union would be in my interest.;;;;;;;;;x
EVTOPTATSK_SWR_FEA2;I refuse!;;;;;;;;;x
#
EVTTITLE_AOPK.1;The Age of Petty Kings;;;;;;;;;x
EVTDESC_AOPK.1;The Age of Petty Kings introduction event.;;;;;;;;;x
EVTOPTAOPK.0;Interesting...;;;;;;;;;x
#
EVTDESC_TSK_S.6;I accept your humble request to become a Knight, go forth and serve the Seven Pointed star with honor and virtue.;;;;;;;;;x
EVTOPTA_TSK_S.6;I offer my services to the most holy Seven.;;;;;;;;;x
EVTDESC_TSK_S.7;No, you do not deserve a Knighthood.;;;;;;;;;x
EVTOPTA_TSK_S.7;Alas!;;;;;;;;;x
#
EVTDESC_A_TSK_C_DE.3;DEBUG: DUEL OPPONENT SUCCESSFULLY FLED;;;;;;;;;x
EVTDESC_B_TSK_C_DE.3;DEBUG: DUEL OPPONENT FAILED TO FLEE;;;;;;;;;x
EVTDESC_C_TSK_C_DE.3;DEBUG: DUEL OPPONENT DID NOT TRY TO FLEE;;;;;;;;;x
EVTOPT_A_TSK_C_DE.3;Dammit.;;;;;;;;;x
EVTOPT_B_TSK_C_DE.3;Let us test [From.GetHerHis] Mettle.;;;;;;;;;x
#
EVTDESC_A_TSK_C_DE.4;DEBUG: VICTORIOUS, OPPONENT KILLED;;;;;;;;;x
EVTDESC_B_TSK_C_DE.4;DEBUG: VICTORIOUS, OPPONENT INJURED;;;;;;;;;x
EVTDESC_C_TSK_C_DE.4;DEBUG: DRAW, INCONCLUSIVE RESULTS;;;;;;;;;x
EVTDESC_D_TSK_C_DE.4;DEBUG: DRAW, OPPONENT WOUNDED;;;;;;;;;x
EVTDESC_E_TSK_C_DE.4;DEBGU: DRAW, SELF WOUNDED;;;;;;;;;x
EVTDESC_F_TSK_C_DE.4;DEBUG: DRAW, BOTH WOUNDED;;;;;;;;;x
EVTDESC_G_TSK_C_DE.4;DEBUG: DRAW, OPPONENT KILLED;;;;;;;;;x
EVTDESC_H_TSK_C_DE.4;DEBUG: DRAW, SELF WOUNDED OPPONENT KILLED;;;;;;;;;x
EVTDESC_I_TSK_C_DE.4;DEBUG: DEFEAT, SELF WOUNDED;;;;;;;;;x
EVTDESC_J_TSK_C_DE.4;DEBUG: KILLED DURING DUEL;;;;;;;;;x
#
EVTDESC_TSK_C_DE.1;PER: INITIAL EVENT, CHOOSE TO ENGAGE OR DISENGAGE;;;;;;;;;x
EVTDESC_TSK_C_DE.2;VIC: VICTIM EVENT, CHOOSE FIGHT OR FLIGHT;;;;;;;;;x
EVTDESC_TSK_C_DE.3;PER: EVT3, REFLECT VIC FIGHT OR FLIGHT - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
EVTDESC_TSK_C_DE.4;VIC: EVT4, CALCULATE RESULTS - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
EVTDESC_TSK_C_DE.5;PER: EVT5, CALCULATE RESULTS - Something isn't right with this event. This should be a generated description based on the outcome of the event. [From.GetFirstName] is the opponent. If there is a blank, the scope is broken.;;;;;;;;;x
#
#EVTDESC_TSK_C_DE.1;You find yourself standing amidst your men, the eb and flow of battle pulsating around you. Weapons clash and men scream around you. Then, just ahead of you catch sight of a face you recognise - the enemy commander, [From.GetFirstName]! The advantage is yours - slip behind your men, or charge [From.GetHerHim] with your blade held high!;;;;;;;;;x
EVTOPTA_TSK_C_DE.1;Charge [From.GetHerHim]!;;;;;;;;;x
EVTOPTB_TSK_C_DE.1;Slip behind your lines...;;;;;;;;;x
#EVTDESC_TSK_C_DE.2;You catch sight of [From.GetFirstName] as they charge at you in a flash. With only a few moments to spare, you decide...;;;;;;;;;x
EVTOPTA_TSK_C_DE.2;To fight;;;;;;;;;x
EVTOPTB_TSK_C_DE.2;To try and flee!;;;;;;;;;x
EVTDESCA_TSK_C_DE.3;As you stumble on the corpses of the dead and dying, the gap between you and [From.GetFirstName] begins to grow greater, and in moment your target is lost as they disappear into the chaos.;;;;;;;;;x
EVTDESCB_TSK_C_DE.3;[From.GetFirstName] stumbles and falls upon a blanket of death as they try to flee from you, but in moments it becomes clear that you are soon to be upon them - and so they desperately ready their arms to take you.;;;;;;;;;x
EVTDESCC_TSK_C_DE.3;[From.GetFirstName] catches sight of you, and begins to move towards you, intent on meeting your challenge.;;;;;;;;;x
EVTOPTA_TSK_C_DE.3;So be it.;;;;;;;;;x
EVTDESCA_TSK_C_DE.4;[From.GetSheHe] charged at me. Although blows were exchanged, I realised I had made a mistake when the world started spinning. Broken and bloody, I am sure not to last much longer...;;;;;;;;;x
EVTDESCB_TSK_C_DE.4;And so [From.GetSheHe] struck that last blow. Your legs gave way beneath you, and you joined the tide of corpses beneath you.;;;;;;;;;x
EVTDESCC_TSK_C_DE.4;Our weapons did clash time and time again, but there was nothing we could do to best one another. [From.GetFirstName] is as much my match as I am theirs.;;;;;;;;;x
EVTDESCD_TSK_C_DE.4;[From.GetFirstName] did not stand a chance before me, and after many swift blows from my weapon did I fell them. Although they still breath, I doubt they will ever risk to challenge me again.;;;;;;;;;x
EVTOPTA_TSK_C_DE.4;So be it.;;;;;;;;;x
EVTOPTB_TSK_C_DE.4;Arrrrgh!;;;;;;;;;x
EVTDESCA_TSK_C_DE.5;[From.GetSheHe] charged at me. Although blows were exchanged, I realised I had made a mistake when the world started spinning. Broken and bloody, I am sure not to last much longer...;;;;;;;;;x
EVTDESCB_TSK_C_DE.5;And so [From.GetSheHe] struck that last blow. Your legs gave way beneath you, and you joined the tide of corpses beneath you.;;;;;;;;;x
EVTDESCC_TSK_C_DE.5;Our weapons did clash time and time again, but there was nothing we could do to best one another. [From.GetFirstName] is as much my match as I am theirs.;;;;;;;;;x
EVTDESCD_TSK_C_DE.5;Chance smiled upon me, for it seemed I would never best [From.GetFirstName], let alone they I. Although I am could hardly call myself luck or that duel heroic, at least I am still breathing.;;;;;;;;;x
EVTDESCE_TSK_C_DE.5;[From.GetFirstName] did not stand a chance before me, and with a swift blow my weapon did fell them. It is clear as day that they shall never walk, talk or even laugh again. The worms will rule over them now.;;;;;;;;;x
EVTDESCF_TSK_C_DE.5;[From.GetFirstName] did not stand a chance before me, and after many swift blows from my weapon did I fell them. Although they still breath, I doubt they will ever risk to challenge me again.;;;;;;;;;x
EVTOPTA_TSK_C_DE.5;So be it.;;;;;;;;;x
EVTOPTB_TSK_C_DE.5;Arrrrrrgh!;;;;;;;;;x
#
tsk_swear_fealty;Offer Oath of Fealty;;;;;;;;;x
tsk_swear_fealty_desc;This decision gives a King the ability to form an Empire-tier title, so you may swear fealty to them.;;;;;;;;;x
consolidate_realm;Consolidate Realm;;;;;;;;;x
