#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
freehold_stable;Stable;;;;;;;;;;;x
freehold_stable_desc;The [Root.GetName] is experiencing a period of internal stability, and trade with the East is profitable. Without any large-scale disasters or powerful enemies prosperity is able to spread, and the military might of Valyria stands ready to defend both its own wealth and its loyal tributaries.;;;;;;;;;;;x
freehold_unrest;Unrest;;;;;;;;;;;x
freehold_unrest_desc;Civil unrest runs rampant in the [Root.GetName], and it has thrown the trade routes with the East into disarray. Valyria's armies are occupied internally in an attempt to keep the peace, and unless the unrest is quelled soon a full-blown civil war may well erupt at any moment.;;;;;;;;;;;x
freehold_civil_war;Civil War;;;;;;;;;;;x
freehold_civil_war_desc;Civil war has erupted in the [Root.GetName], and trade with the East suffers as a result. Valyria's armies are arrayed against one another, and the ruling dynasty itself is threatened. Intrepid generals may well seek their fortune in the West, beyond Valyria's borders.;;;;;;;;;;x
freehold_dothraki_invasion;Dothraki Invasion;;;;;;;;;;;x
freehold_dothraki_invasion_desc;The Dothraki hordes of the north pour into Valyria, lead by their mighty Khals. The mighty Valyrian armies are occupied with their desperate defense of their homeland, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;;;;;;;;;;x
freehold_rhoynish_invasion;Rhoynish Invasion;;;;;;;;;;;x
freehold_rhoynish_invasion_desc;The people of the great river Rhoyne have descended upon Valyria itself, led by their water sorcerers and commanders. The mighty Valyrian armies are occupied with their desperate defense of their homeland, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;;;;;;;;;;x
freehold_ghiscari_invasion;Ghiscari Invasion;;;;;;;;;;;x
freehold_ghiscari_invasion_desc;The great armies of the empire of Slaver's Bay have rampaged the Valyrian islands and colonies on its way to the Valyrian homeland. The mighty Valyrian armies are occupied with their desperate defense of their homeland, and the fighting has greatly disrupted trade as well as caused a mass exodus of refugees. Scions of the current dynasty may well flee westward if the war goes poorly enough.;;;;;;;;;;x
freehold_plague;Plague;;;;;;;;;;;x
freehold_plague_desc;A terrible disease wracks the [Root.GetName], leaving thousands lying dead in its wake. Trade has ground to a halt as the Valyrian economy has been forced to its knees, and even the Freehold's armies have been decimated to but a shadow of their former glory.;;;;;;;;;;x
freehold_internal_purge;Internal Purge;;;;;;;;;;;x
freehold_internal_purge_desc;Pressured by the ever-increasing numbers of nobility, the Emperor has started a purge of Valyrian nobility. Thousands of the noble class have been killed, and some seek to move West for safety.;;;;;;;;;;;x
freehold_economic_ruin;Economic Ruin;;;;;;;;;;;x
freehold_economic_ruin_desc;Running a large empire is financially stressful, and the Valyrian economy has plunged into depths never imagined possible. The nobility dream of moving west to leave this money-barren land.;;;;;;;;;;;x
freehold_golden_age;Golden Age;;;;;;;;;;;x
freehold_golden_age_desc;The [Root.GetName] has reached untold power and wealth. As Valyria flourishes, the trade routes with the East bring not only valuable goods in previously unheard-of quantities, but also rich and abundant examples of Valyrian culture. An Emperor of the Freehold in this Golden Age may well rightfully consider [Root.Ruler.GetHerselfHimself] the [Root.Ruler.GetMasterMistress] of the known world.;;;;;;;;;;x
raise_freehold_honor_guard;Raise Chinese Honor Guard;;;;;;;;;;x
