#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###########################################;;;;;;;;;;;;;;x
march;March;;;;;;;;;;;;;x
MARCH_PERMANENT_NAME;March;;;;;;;;;;;;;x
MARCH_PERMANENT_PLURAL;Marches;;;;;;;;;;;;;x
MARCH_SUZERAIN_PERMANENT_NAME;King;;;;;;;;;;;;;x
MARCH_DEFAULT_TRIBUTE;Lord Marshal;;;;;;;;;;;;;x
confederation;Confederation;;;;;;;;;;;;;x
CONFEDERATION_NAME;Andal Confederation;;;;;;;;;;;;;x
CONFEDERATION_PLURAL;Confederations;;;;;;;;;;;;;x
CONFEDERATION_SUZERAIN_NAME;Leader;;;;;;;;;;;;;x
CONFEDERATION_DEFAULT_TRIBUTE;Member;;;;;;;;;;;;;x
china_tributary;Valyrian Territory;;;;;;;;;;;;;x
CHINA_TRIBUTARY_NAME;Valyrian Territory;;;;;;;;;;;;;x
CHINA_TRIBUTARY_PLURAL;Valyrian Territories;;;;;;;;;;;;;x
CHINA_TRIBUTARY_SUZERAIN_NAME;Viceroy;;;;;;;;;;;;;x
CHINA_TRIBUTARY_DEFAULT_TRIBUTE;Valyrian Territory;;;;;;;;;;;;;x
