#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
valyrian_sword_breaker;Doom;;;;;;;;;;;;;x
valyrian_sword_breaker_desc;Forged in the heart of Valyria, this mace is made entirely of Valyrian Steel, the rarest metal in Essos and Westeros. Worth a King's ransom, rumors tell that Valyria contains bountiful amounts of these kinds of mighty weapons.;;;;;;;;;;;;;x
red_rain;Red Rain;;;;;;;;;;;;;x
vigilance;Vigilance;;;;;;;;;;;;;x
hammer_of_justice;Justice;;;;;;;;;;;;;x
dawn;Dawn;;;;;;;;;;;;;x
hammer_of_justice_desc;Personally forged by Tristifer in his youth. The colossal war hammer dwarfs all other weapons on the battlefield. Only a handful of men are strong enough to wield the hammer in battle. It is mainly used for ceremonial occasions such as executions and coronations.;;;;;;;;;;;;;x
lady_forlorn_desc;Lady Forlorn is the ancestral Valyrian steel longsword of House Corbray. It has a heart-shaped ruby in its pommel.;;;;;;;;;;;;;x
vigilance_desc;Vigilance is a Valyrian steel longsword belonging to House Hightower.;;;;;;;;;;;;;x
dawn_desc;According to legend, Samwell 'Starsmith' the founder of House Dayne tracked a falling star to the mouth of the Torentine, and Starfall was then constructed where a magical stone was discovered. The greatsword Dawn was forged from the heart of this fallen star.;;;;;;;;;;;;;x
claim_dawn;Claim Dawn!;;;;;;;;;;;;;x
claim_dawn_desc;According to legend, Samwell 'Starsmith' the founder of House Dayne tracked a falling star to the mouth of the Torentine, and Starfall was then constructed where a magical stone was discovered. The greatsword Dawn was forged from the heart of this fallen star. Only the greatest warriors of House Dayne can wield this greatsword. Once a warrior claims this sword he becomes 'The Sword Of the Morning'.;;;;;;;;;;;;;x
TOOLTIP_claim_dawn;Three must be true: Brave, Kind, Patient, Quick, Just, Diligent, Honorable, Ambitious, Bleeding Heart, Huge, Tall, Strong.;;;;;;;;;;;;;x
jade_dragon;Valyrian Relic;;;;;;;;;;;;;x
jade_dragon_desc; A relic of the ancient Valyrian god Balerion.;;;;;;;;;;;;;x
china_dragon_amulet;Valyrian Dragon Amulet;;;;;;;;;;;;;x
china_dragon_amulet_name;Valyrian Dragon Amulet;;;;;;;;;;;;;x
china_dragon_amulet_desc;An ornate amulet forged and crafted in the heart of Valyria.;;;;;;;;;;;;;x
china_artwork_name;Valyrian Artwork;;;;;;;;;;;;;x
china_artwork;Valyrian Artwork;;;;;;;;;;;;;x
china_artwork_desc;A painting personally painted by the finest artists in the Freehold.;;;;;;;;;;;;;x
china_calligraphy;Valyrian Calligraphy;;;;;;;;;;;;;x
china_calligraphy_name;Valyrian Calligraphy;;;;;;;;;;;;;x
china_sculpture;Valyrian Sculpture;;;;;;;;;;;;;x
china_sculpture_desc;Sculpted by only the finest artists in the heart of the Freehold.;;;;;;;;;;;;;x
china_ceremonial_robes;Lavish Freeholder Robes;;;;;;;;;;;;;x
china_ceremonial_robes_desc;A fine pair of robes worn by the Lord Freeholders of the Valyrian peninsula.;;;;;;;;;;;;;x
silk_shroud;Valyrian Silk Shroud;;;;;;;;;;;;;x
water_clock;Valyrian Clock;;;;;;;;;;;;;x
jian_sword;Valyrian Steel Sword;;;;;;;;;;;;;x
jian_sword_desc;Forged with dragonfire in the heart of Valyria. This sword was once wielded by a Valyrian warlord hundreds of years ago.;;;;;;;;;;;;;x
china_prev_emperor_sculpture;Sculpture of Vhagar Voltarys;;;;;;;;;;;;;x
china_prev_emperor_sculpture_desc;A sculpture of the founder of the modern Valyrian Freehold. Handcrafted by only the finest artists in the heart of the Valyria.;;;;;;;;;;;;;x
china_arm_protector;Valyrian Bracelet;;;;;;;;;;;;;x
china_arm_protector_desc;An ancient Valyrian bracelet created hundreds of years ago.;;;;;;;;;;;;;x
china_serpent_spear;Valyrian Steel Spear;;;;;;;;;;;;;x
china_serpent_spear_desc;Forged with dragonflame at an unknown date. This spear is nearly indestructible and has claimed the lives of many great men.;;;;;;;;;;;;;x
china_ji;Valyrian Steel Lance;;;;;;;;;;;;;x
china_ji_desc;A lance made entirely of Valyrian Steel. Quite the prize.;;;;;;;;;;;;;x
china_crossbow;Valyrian Crossbow;;;;;;;;;;;;;x
