ca_settlement_1;I: Frontier Outpost;;;;;;;;;;;;;x
ca_settlement_2;II: Minor Fort;;;;;;;;;;;;;x
ca_settlement_3;III: Fort;;;;;;;;;;;;;x
ca_settlement_4;IV: Stone Castle;;;;;;;;;;;;;x
ca_settlement_5;V: Rounded Stone Castle;;;;;;;;;;;;;x
ca_settlement_6;VI: Lesser Bastion;;;;;;;;;;;;;x
ca_settlement_7;VII: Bastion;;;;;;;;;;;;;x
ca_settlement_8;VIII: Stronghold;;;;;;;;;;;;;x
ca_settlement_9;IX: Regional Stronghold;;;;;;;;;;;;;x
ca_settlement_10;X: Citadel;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_recruit_1;I: Primitive Levying;;;;;;;;;;;;;x
ca_recruit_2;II: Rudimentry Levying;;;;;;;;;;;;;x
ca_recruit_3;III: Well-Established Levying;;;;;;;;;;;;;x
ca_recruit_4;IV: Elaborate Levying;;;;;;;;;;;;;x
ca_recruit_5;V: Regional Draft;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_castle_town_1;I: Outlying Cottages;;;;;;;;;;;;;x
ca_castle_town_2;II: Scattered Hamlet;;;;;;;;;;;;;x
ca_castle_town_3;III: Clustered Hamlet;;;;;;;;;;;;;x
ca_castle_town_4;IV: Meagre Castle Village;;;;;;;;;;;;;x
ca_castle_town_5;V: Small Castle Village;;;;;;;;;;;;;x
ca_castle_town_6;VI: Sizeable Castle Village;;;;;;;;;;;;;x
ca_castle_town_7;VII: Meagre Castle Town;;;;;;;;;;;;;x
ca_castle_town_8;VIII: Noteworthy Castle Town;;;;;;;;;;;;;x
ca_castle_town_9;IX: Sizeable Castle Town;;;;;;;;;;;;;x
ca_castle_town_10;X: Large, Flourishing Castle Town;;;;;;;;;;;;;x
ca_castle_town_11;XI: Sprawling Regional Settlements;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_barracks_1;I: Farmhouse Bunks;;;;;;;;;;;;;x
ca_barracks_2;II: Small Quarters;;;;;;;;;;;;;x
ca_barracks_3;III: Sizeable Quarters;;;;;;;;;;;;;x
ca_barracks_4;IV: Wing;;;;;;;;;;;;;x
ca_barracks_5;V: Large Wing;;;;;;;;;;;;;x
ca_barracks_6;VI: Sizeable Standing Barracks;;;;;;;;;;;;;x
ca_barracks_7;VII: Large Standing Barracks;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_walls_1;I: Primitive Breastwork;;;;;;;;;;;;;x
ca_walls_2;II: Extensive Breastwork;;;;;;;;;;;;;x
ca_walls_3;III: Stockade;;;;;;;;;;;;;x
ca_walls_4;IV: Palisade Walls;;;;;;;;;;;;;x
ca_walls_5;V: Wooden Walls;;;;;;;;;;;;;x
ca_walls_6;VI: Wood and Stone Walls;;;;;;;;;;;;;x
ca_walls_7;VII: Stone Walls;;;;;;;;;;;;;x
ca_walls_8;VIII: Strengthened Stone Walls;;;;;;;;;;;;;x
ca_walls_9;IX: Tall Stone Walls;;;;;;;;;;;;;x
ca_walls_10;X: Great Stone Bulwark;;;;;;;;;;;;;x
;;;;;;;;;;;;;;
ca_pat_1;I: Infrequent Foot Patrols;;;;;;;;;;;;;x
ca_pat_2;II Irregular Foot Patrols;;;;;;;;;;;;;x
ca_pat_3;III: Regular Foot Patrols;;;;;;;;;;;;;x
ca_pat_4;IV: Frequent Foot Patrols;;;;;;;;;;;;;x
ca_pat_5;V: Infrequent Cavalry Patrols;;;;;;;;;;;;;x
ca_pat_6;VI: Irregular Cavalry Patrols;;;;;;;;;;;;;x
ca_pat_7;VII: Regular Cavalry Patrols;;;;;;;;;;;;;x
ca_pat_8;VIII: Frequent Cavalry Patrols;;;;;;;;;;;;;x
