ca_asoiaf_ironshipyard;Ironborn Shipyard;;;;;;;;;;;;;x
ca_asoiaf_redwyneshipyard;Arbor Shipyard;;;;;;;;;;;;;x
ca_asoiaf_lannshipyard;Lannisport Shipyard;;;;;;;;;;;;;x
ca_asoiaf_oldtownshipyard;Oldtown Shipyard;;;;;;;;;;;;;x
ca_asoiaf_shieldshipyard;Shield Isles Shipyard;;;;;;;;;;;;;x
ca_wildling_barracks;Small Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks2;Wildling Barracks;;;;;;;;;;;;;x,,,,
ca_wildling_barracks3;Large Wildling Barracks;;;;;;;;;;;;;x
ca_wildling_barracks4;Fortified Wildling Barracks;;;;;;;;;;;;;x
ca_culture_pentoshi_1;Small Merchant Levy;;;;;;;;;;;;;;x
ca_culture_pentoshi_2;Merchant Levy;;;;;;;;;;;;;;x
ca_culture_pentoshi_3;Large Merchant Levy;;;;;;;;;;;;;;x
ca_culture_pentoshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x
ca_culture_myrman_1;Small Merchant Levy;;;;;;;;;;;;;;x
ca_culture_myrman_2;Merchant Levy;;;;;;;;;;;;;;x
ca_culture_myrman_3;Large Merchant Levy;;;;;;;;;;;;;;x
ca_culture_myrman_4;Huge Merchant Levy;;;;;;;;;;;;;;x
ca_culture_tyroshi_1;Small Merchant Levy;;;;;;;;;;;;;;x
ca_culture_tyroshi_2;Merchant Levy;;;;;;;;;;;;;;x
ca_culture_tyroshi_3;Large Merchant Levy;;;;;;;;;;;;;;x
ca_culture_tyroshi_4;Huge Merchant Levy;;;;;;;;;;;;;;x
ca_culture_lysene_1;Small Merchant Levy;;;;;;;;;;;;;;x
ca_culture_lysene_2;Merchant Levy;;;;;;;;;;;;;;x
ca_culture_lysene_3;Large Merchant Levy;;;;;;;;;;;;;;x
ca_culture_lysene_4;Huge Merchant Levy;;;;;;;;;;;;;;x
ca_culture_braavosi_1;Small Liberation Levy;;;;;;;;;;;;;;x
ca_culture_braavosi_2;Liberation Camp;;;;;;;;;;;;;;x
ca_culture_braavosi_3;Large Liberation Holdfast;;;;;;;;;;;;;;x
ca_culture_braavosi_4;Huge Liberation Fort;;;;;;;;;;;;;;x
ca_culture_lorathi_1;Small Maze Levy;;;;;;;;;;;;;;x
ca_culture_lorathi_2;Maze Levy;;;;;;;;;;;;;;x
