#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#FREE FOLK;;;;;;;;;;;;;;x
free_folk;The Free Folk;The Free Folk;The Free Folk;;The Free Folk;;;;;;;;;x
thenn;Thenn;Thenn;Thenn;;Thenn;;;;;;;;;x
nightrunners;Nightrunners;Nightrunners;Nightrunners;;Nightrunners;;;;;;;;;x
frozen_shore;Men of the Frozen Shore;Men of the Frozen Shore;Men of the Frozen Shore;;Men of the Frozen Shore;;;;;;;;;x
ice_rivermen;Ice Rivermen;Ice Rivermen;Ice Rivermen;;Ice Rivermen;;;;;;;;;x
hornfoots;Hornfoots;Hornfoots;Hornfoots;;Hornfoots;;;;;;;;;x
cavemen;Cavemen;Cavemen;Cavemen;;Cavemen;;;;;;;;;x
gildlic;Gildlic;Gildlic;Gildlic;;Gildlic;;;;;;;;;x
dumhic;Dumhic;Dumhic;Dumhic;;Dumhic;;;;;;;;;x
hartenn;Hartenn;Hartenn;Hartenn;;Hartenn;;;;;;;;;x
saliosi;Saliosi;Saliosi;Saliosi;;Saliosi;;;;;;;;;x
harishic;Harishic;Harishic;Harishic;;Harishic;;;;;;;;;x
skagosi;Skagosi;Skagosi;Skagosi;;Skagosi;;;;;;;;;x
wildling;Wildling;Wildling;Wildling;;Wildling;;;;;;;;;x
#FIRST MEN;;;;;;;;;;;;;;x
first_men;First Men;First Men;First Men;;First Men;;;;;;;;;x
#THE NORTH;;;;;;;;;;;;;;x
northmen;Northmen;Northmen;Northmen;;Northmen;;;;;;;;;x
barrowmen;Barrowmen;Barrowmen;Barrowmen;;Barrowmen;;;;;;;;;x
flint_clansmen;Flint Clansmen;Flint Clansmen;Flint Clansmen;;Flint Clansmen;;;;;;;;;x
crannogmen;Crannogmen;Crannogmen;Crannogmen;;Crannogmen;;;;;;;;;x
hill_clansmen;Hill Clansmen;Hill Clansmen;Hill Clansmen;;Hill Clansmen;;;;;;;;;x
clansmen;Clansmen;Clansmen;Clansmen;;Clansmen;;;;;;;;;x
#BLACKWATER BAY;;;;;;;;;;;;;;x
crackclawmen;Crackclawmen;Crackclawmen;Crackclawmen;;Crackclawmen;;;;;;;;;x
dusklander;Dusklander;Dusklander;Dusklander;;Dusklander;;;;;;;;;x
#THE RIVERLANDS;;;;;;;;;;;;;;x
rivermen;Rivermen;Rivermen;Rivermen;;Rivermen;;;;;;;;;x
muddish;Muddish;Muddish;Muddish;;Muddish;;;;;;;;;x
crabmen;Crabmen;Crabmen;Crabmen;;Crabmen;;;;;;;;;x
#THE STORMLANDS;;;;;;;;;;;;;;x
stormmen;Stormmen;Stormmen;Stormmen;;Stormmen;;;;;;;;;x
evenstar;Evenstar;Evenstar;Evenstar;;Evenstar;;;;;;;;;x
wrathmen;Wrathmen;Wrathmen;Wrathmen;;Wrathmen;;;;;;;;;x
wendmen;Wendmen;Wendmen;Wendmen;;Wendmen;;;;;;;;;x
hookmen;Hookmen;Hookmen;Hookmen;;Hookmen;;;;;;;;;x
rainlander;Rainlander;Rainlander;Rainlander;;Rainlander;;;;;;;;;x
marchmen;Marchmen;Marchmen;Marchmen;;Marchmen;;;;;;;;;x
#THE REACH;;;;;;;;;;;;;;x
shieldislander;Shield Islander;Shield Islander;Shield Islander;;Shield Islander;;;;;;;;;x
manderish;Manderish;Manderish;Manderish;;Manderish;;;;;;;;;x
north_marcher;North Marcher;North Marcher;North Marcher;;North Marcher;;;;;;;;;x
wynemen;Wynemen;Wynemen;Wynemen;;Wynemen;;;;;;;;;x
south_marcher;South Marcher;South Marcher;South Marcher;;South Marcher;;;;;;;;;x
#THE VALE;;;;;;;;;;;;;;x
bronzemen;Bronzemen;Bronzemen;Bronzemen;;Bronzemen;;;;;;;;;x
mountain_clansmen;Mountain Clansmen;Mountain Clansmen;Mountain Clansmen;;Mountain Clansmen;;;;;;;;;x
sistermen;Sistermen;Sistermen;Sistermen;;Sistermen;;;;;;;;;x
old_bronzemen;Bronzemen;Bronzemen;Bronzemen;;Bronzemen;;;;;;;;;x
