#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
brightroar;Brightroar;;;;;;;;;;;;;x
vigilance;Vigilance;;;;;;;;;;;;;x
truth;Truth;;;;;;;;;;;;;x
celtigars_claw;Celtigar's Claw;;;;;;;;;;;;;x
ice;Ice;;;;;;;;;;;;;x
lady_forlorn;Lady Forlorn;;;;;;;;;;;;;x
heartsbane;Heartsbane;;;;;;;;;;;;;x
longclaw;Longclaw;;;;;;;;;;;;;x
nightfall;Nightfall;;;;;;;;;;;;;x
red_rain;Red Rain;;;;;;;;;;;;;x
orphan_maker;Orphan Maker;;;;;;;;;;;;;x
ca_sunspear_desc;Capital of the House Martell, it is a diamond in the harsh, unforgiving Dornish deserts. The largest holding in Dorne, it is a notable powerbase in the south and along the coast.;;;;;;;;;;;;;x
ca_culture_dornish_1;Dornish Barracks;;;;;;;;;;;;;x
ca_boneway_keep_desc;At the base of the Boneway lies the tremendous keep of the Yronwoods. Its strategic position has defended the mainland of Dorne from would-be Stormlander conquerers for millenia.;;;;;;;;;;;;;x
d_roseguard;Roseguard;;;;;;;;;;;;;x
EVTDESCroseguard.0001;The Roseguard has lost one of its best. The time has come to find a replacement.;;;;;;;;;;;;;x
EVTOPTAroseguard.0001;Choose from the fiercest fighters;;;;;;;;;;;;;x
EVTOPTBroseguard.0001;Choose from your closest allies;;;;;;;;;;;;;x
EVTOPTCroseguard.0001;Choose from the minor houses;;;;;;;;;;;;;x
EVTOPTDroseguard.0001;Choose from the major houses;;;;;;;;;;;;;x
EVTOPTFroseguard.0001;Choose from the bottom of the barrel;;;;;;;;;;;;;x
EVTOPTEroseguard.0001;Maybe another day...;;;;;;;;;;;;;x
EVTDESCroseguard.0002;You have gathered the best duelists in the land. Now, who shall you select?;;;;;;;;;;;;;x
EVTOPTAroseguard.0002;This man;;;;;;;;;;;;;x
EVTOPTDroseguard.0002;None are worthy...;;;;;;;;;;;;;x
EVTDESCroseguard.0003;You have gathered those most loyal to you, but which are ready to serve?;;;;;;;;;;;;;x
EVTDESCroseguard.0004;You have gathered the men of notable houses, which one shall you deem worthy?;;;;;;;;;;;;;x
EVTDESCroseguard.0006;You have gathered the men of the most prestigious houses, who among them shall you choose?;;;;;;;;;;;;;x
EVTDESCroseguard.0057;You scraped the barrel and come up with these few, are any worthy of serving in the Guard?;;;;;;;;;;;;;x
roseguard;Roseguard;;;;;;;;;;;;;x
roseguard_desc;A member of the elite guard of the Reach;;;;;;;;;;;;;x
stormguard;Stormguard;;;;;;;;;;;;;x
stormguard_desc;A member of the elite guard of the Stormlands;;;;;;;;;;;;;x
d_stormguard;Stormguard;;;;;;;;;;;;;x
CONFIRM_DISBAND_DESC2;Due to enemy presence in our homelands, only $NUM$ of $TOTAL$ troops will be able to return home.;;;;;;x  #This is the line you were looking for Rowan, it just needs a different description;;;;;;;x
CONFIRM_DISBAND_DESC5;Due to not being in friendly territory, only $NUM$ of $TOTAL$ troops will be able to return home.;;;;;;x  #And the other one incase you want to change something about that;;;;;;;x
