#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CENTRALIZATION1CUSTOM;All Kings and Queens in your realm shall from now on call themselves Lord and Lady Marshal.;;;;;;;;;;;;;x
CENTRALIZATION2CUSTOM;There is only one [This.GetKingQueen] in [This.PrimaryTitle.GetName]. None of my vassals shall ever name himself king or queen nor shall he have a king's position in my realm.;;;;;;;;;;;;;x
lord_marshal;Lord Marshal;;;;;;;;;;;;;x
lady_marshal;Lady Marshal;;;;;;;;;;;;;x
EVTDESCTSK_LAWS1;[From.GetTitledName] has decided that you may continue to name yourself [Root.GetKingQueen] of [Root.PrimaryTitle.GetName].;;;;;;;;;;;;;x
EVTOPTATSK_LAWS1;Good.;;;;;;;;;;;;;x
EVTOPTBTSK_LAWS1;At least I keep my vassals...;;;;;;;;;;;;;x
EVTOPTCTSK_LAWS1;I will not forget my claim!;;;;;;;;;;;;;x
EVTDESCTSK_LAWS2;[From.GetTitledName] has announced in a royal decree that from now on there shall be only one [high_king.GetKingQueen] in [From.PrimaryTitle.GetName]. However, you may keep your rank and call yourself the Marshal of [Root.PrimaryTitle.GetName].;;;;;;;;;;;;;x
EVTOPTATSK_LAWS2;Ok.;;;;;;;;;;;;;x
EVTDESCTSK_LAWS3;[FromFrom.GetBestName] has named [FromFrom.GetHerselfHimself] [FromFrom.GetKingQueen] of [FromFrom.PrimaryTitleGetBaseName] and has declared that shall be only one [FromFrom.GetKingQueen]. The realm's administration is from now on located at your lieges capital rather than splitted up to several Marshals.;;;;;;;;;;;;;x
EVTOPTATSK_LAWS3;Ok.;;;;;;;;;;;;;x
