#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
opinion_patron;Gave patronage;;;;;;;;;;;;;x
opinion_new_courtier;New courtier;;;;;;;;;;;;;x
good_conversation;Good conversation;;;;;;;;;;;;;x
first_men_opinion;First Men Opinion;;;;;;;;;;;;;x
andal_opinion;Andal Opinion;;;;;;;;;;;;;x
northmen_opinion;Northmen Opinion;;;;;;;;;;;;;x
barrowmen_opinion;Barrowmen Opinion;;;;;;;;;;;;;x
muddish_opinion;Muddish Opinion;;;;;;;;;;;;;x
valemen_opinion;Valemen Opinion;;;;;;;;;;;;;x
lowland_valemen_opinion;Lowland Valemen Opinion;;;;;;;;;;;;;x
bronzemen_opinion;Bronzemen Opinion;;;;;;;;;;;;;x
westerlander_opinion;Westerlander Opinion;;;;;;;;;;;;;x
westermen_opinion;Westermen Opinion;;;;;;;;;;;;;x
crabmen_opinion;Crabmen Opinion;;;;;;;;;;;;;x
dusklander_opinion;Dusklander Opinion;;;;;;;;;;;;;x
stormlander_opinion;Stormlander Opinion;;;;;;;;;;;;;x
stormmen_opinion;Stormen Opinion;;;;;;;;;;;;;x
evenstar_opinion;Evenstar Opinion;;;;;;;;;;;;;x
reachmen_opinion;Reachmen Opinion;;;;;;;;;;;;;x
manderish_opinion;Manderish Opinion;;;;;;;;;;;;;x
wynemen_opinion;Wynemen Opinion;;;;;;;;;;;;;x
dornish_opinion;Dornish Opinion;;;;;;;;;;;;;x
andal_dornish_opinion;Andal Dornish Opinion;;;;;;;;;;;;;x
stone_dornish_opinion;Stone Dornish Opinion;;;;;;;;;;;;;x
torrentine_opinion;Torrentine Opinion;;;;;;;;;;;;;x
iron_islander_opinion;Iron Islander Opinion;;;;;;;;;;;;;x
pykem_opinion;Pykemen Opinion;;;;;;;;;;;;;x
harlawn_opinion;Harlawn Opinion;;;;;;;;;;;;;x
valyrian_opinion;Valyrian Opinion;;;;;;;;;;;;;x
driftmarker_opinion;Driftmarker Opinion;;;;;;;;;;;;;x
crackclawmen_opinion;Crackclawmen Opinion;;;;;;;;;;;;;x
hookmen_opinion;Hookmen Opinion;;;;;;;;;;;;;x
crannogmen_opinion;Crannogmen Opinion;;;;;;;;;;;;;x
flint_clansman_opinion;Flint Clansman Opinion;;;;;;;;;;;;;x
clansmen_opinion;Clansmen Opinion;;;;;;;;;;;;;x
north_marcher_opinion;North Marcher Opinion;;;;;;;;;;;;;x
wynelander_opinion;Wynelander Opinion;;;;;;;;;;;;;x
rivermen_opinion;Rivermen Opinion;;;;;;;;;;;;;x
riverlander_opinion;Riverlander Opinion;;;;;;;;;;;;;x
sisterman_opinion;Sistermen Opinion;;;;;;;;;;;;;x
craggon_opinion;Craggon Opinion;;;;;;;;;;;;;x
fairmen_opinion;Fairmen Opinion;;;;;;;;;;;;;x
cornmen_opinion;Cornmen Opinion;;;;;;;;;;;;;x
goldmen_opinion;Goldmen Opinion;;;;;;;;;;;;;x
old_gods_opinion;Old Gods Opinion;;;;;;;;;;;;;x
drowned_god_opinion;Drowned God Opinion;;;;;;;;;;;;;x
the_seven_group_opinion;The Seven Opinion;;;;;;;;;;;;;x
bloodline_effect_strong;Characters tend to be §Gstrong§!;;;;;;;;;x
bloodline_effect_combat_skill;Characters tend to have better dueling skills;;;;;;;;;x
rhllor_opinion;R'hllor Opinion;;;;;;;;;;;;x
skagosi_opinion;Skagosi Opinion;;;;;;;;;;;;x
lion_night_opinion;Lion of the Night's Opinion;;;;;;;;;;;;;x
the_stranger_opinion;The Stranger's Opinion;;;;;;;;;;;;;x
old_gods_beyond_white_opinion;The White One's Opinion;;;;;;;;;;;;;x
