#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tr_merchant_enclave_1;Insignificant Merchant Enclave;;;;;;;;;;;;;x
tr_merchant_enclave_1_desc;An insignificant number of merchants reside here during their travels.;;;;;;;;;;;;;x
tr_merchant_enclave_2;Sizeable Merchant Enclave;;;;;;;;;;;;;x
tr_merchant_enclave_2_desc;A Sizeable number of merchants reside here during their travels.;;;;;;;;;;;;;x
tr_merchant_enclave_3;Large Merchant Enclave;;;;;;;;;;;;;x
tr_merchant_enclave_3_desc;A large number of merchants reside here during their travels.;;;;;;;;;;;;;x
tr_merchant_banks_1;High Risk Loaning;;;;;;;;;;;;;x
tr_merchant_banks_1_desc;Loans are handed out here at high risk, but also at equally high reward.;;;;;;;;;;;;;x
tr_merchant_banks_2;Insurance Policy;;;;;;;;;;;;;x
tr_merchant_banks_2_desc;Ships and cargo are insured at high prices, a gamble that usually sits in the favour of the local merchants.;;;;;;;;;;;;;x
tr_merchant_banks_3;Low Risk Loaning;;;;;;;;;;;;;x
tr_merchant_banks_3_desc;Loans are handed out to regular clients at lower interest rates, but at a considerably lower risk.;;;;;;;;;;;;;x
tr_merchant_banks_4;Interest Banking;;;;;;;;;;;;;x
tr_merchant_banks_4_desc;Clients deposit banking, and in turn their money is loaned out to others. The clients gain an interest based on the value stored, to attract more clients.;;;;;;;;;;;;;x
tr_merchant_banks_5;Specialized Banking;;;;;;;;;;;;;x
tr_merchant_banks_5_desc;Specialized Banking is provided to those who may otherwise have issues storing away their coin, good or other assets. Everything from valuable trade goods to huge merchant ships are stored away here, some at a cost whilst others with interest payments.;;;;;;;;;;;;;x
tr_merchant_port_1;Small Merchants Harbour;;;;;;;;;;;;;x
tr_merchant_port_1_desc;A small harbour offers very limited docking access in this tradepost for the purpose of picking up and offloading goods.;;;;;;;;;;;;;x
tr_merchant_port_2;Merchants Harbour;;;;;;;;;;;;;x
tr_merchant_port_2_desc;The harbour offers somewhat adequate docking access in this tradepost for the purpose of picking up and offloading goods..;;;;;;;;;;;;;x
tr_merchant_port_3;Small Merchants Port;;;;;;;;;;;;;x
