#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DEATH_AMBUSH_MOUNTAIN_CLANSMEN;0;;;;;;;;;;;;;x
knighthood_the_seven;Knighthood of the Seven;;;;;;;;;;;;;x
knighthood_the_seven_desc;The Knighthood of the Seven attempts to promote honor and character of strength through prestige. Characters of Renown are granted a position and granted a Knighthood, so that they may serve the Seven Faith.;;;;;;;;;;;;;x
knighthood_the_seven_leader;Grandmaster;;;;;;;;;;;;;x
knighthood_the_seven_leader_desc;Grandmaster;;;;;;;;;;;;;x
knighthood_the_seven_rank_1_male;Standard Bearer;;;;;;;;;;;;;x
knighthood_the_seven_rank_1_female;Standard Bearer;;;;;;;;;;;;;x
knighthood_the_seven_rank_2_male;Under-Marshal;;;;;;;;;;;;;x
knighthood_the_seven_rank_2_female;Under-Marshal;;;;;;;;;;;;;x
knighthood_the_seven_rank_3_male;Marshal;;;;;;;;;;;;;x
knighthood_the_seven_rank_3_female;Marshal;;;;;;;;;;;;;x
knighthood_the_seven_rank_4_male;Grand Commander;;;;;;;;;;;;;x
knighthood_the_seven_rank_4_female;Grand Commander;;;;;;;;;;;;;x
knighthood_the_seven_rank_5_male;Master of the Order;;;;;;;;;;;;;x
knighthood_the_seven_rank_5_female;Master of the Order;;;;;;;;;;;;;x
currency_knighthood_the_seven;Silver Stars;;;;;;;;;;;;;x
EVTDESC_TSK_S.3;[Root.GetTitledFirstName],\n\nWe are delighted by your decision to join our ranks as a Knight of the Seven. Together we shall strive for the betterment of ourselves and our fellows by following the words of the Seven Pointed Star.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
EVTOPTA_TSK_S_3;I shall serve with honor and virtue.;;;;;;;;;;;;;x
EVTDESC_MNM_10023_KNIGHTHOOD_SEVEN;To [Root.GetTitledFirstName],\n\nIt is come to our attention that you have failed to uphold the faith of the Seven Pointed Star. As defending the Seven Faith is first and foremost our greatest duty, this can be seen as no less an act of the highest degree of treachery. If you want to keep your life, never cross our path again. \n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;;;x
GetSocietyRankUpTooltip1_Standard_Rank1;ßY1000ß!;ßY1000ß!;ßY1000ß!;;ßY1000ß!;;;;;;;;;x
GetSocietyRankUpTooltip1_Standard_Rank2;ßY2000ß!;ßY2000ß!;ßY2000ß!;;ßY2000ß!;;;;;;;;;x
GetSocietyRankUpTooltip1_Standard_Rank3;ßY3000ß!;ßY3000ß!;ßY3000ß!;;ßY3000ß!;;;;;;;;;x
GetSocietyRankUpTooltip1_Standard_Rank4;ßY4000ß!;ßY4000ß!;ßY4000ß!;;ßY4000ß!;;;;;;;;;x
GetSocietyRankUpTooltip1_Standard_Rank5;ßY5000ß!;ßY5000ß!;ßY5000ß!;;ßY5000ß!;;;;;;;;;x
GetSocietyRankUpTooltip2_Standard;.\n;.\n;.\n;;.\n;;;;;;;;;x
must_have_multiple_rank_5;ßY[Root.Society.GetNameCap]ß! must allow multiple characters to hold the next rank\n;;;;;;;;;;;;;x
request_knighthood;Request Knighthood;;;;;;;;;;;;;x
request_knighthood_desc;Petition the Master of the Order for a Knighthood.;;;;;;;;;;;;;x
knight_target;Establish Knighthood;;;;;;;;;;;;;x
knight_target_desc;Knight this character.;;;;;;;;;;;;;x
knighthood_the_sevenCap;Knighthood of The Seven;;;;;;;;;;;;;x
