#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
tsk_war_leader_1;Not Leading;;;;;;;;;;;;;x
tsk_war_leader_1_desc;This character is not leading their people in war;;;;;;;;;;;;;x
tsk_war_leader_2;Leading;;;;;;;;;;;;;x
tsk_war_leader_2_desc;This character is leading their people in war;;;;;;;;;;;;;x
the_viceroy;The Dragon Viceroy;;;;;;;;;;;;;x
the_viceroy_desc; ;;;;;;;;;;;;;x
dragon_rider;Dragon Rider;;;;;;;;;;;;;x
dragon_rider_desc; ;;;;;;;;;;;;;x
wrong_duchy_administration;Poor Administration;;;;;;;;;;;;;x
wrong_duchy_administration_desc;This province is outside of the holder's duchy, therefor impacting its administration negatively. \n\nTo improve the situation, give this county to a local duke or award it to a count, or wait until you have control over the duchy tier title.;;;;;;;;;;;;;x
