#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
household_guard;Household Guard;;;;;;;;;;;;;x
household_guard_offensive;Household Guard Offensive;;;;;;;;;;;;;x
household_guard_defensive;Household Guard Defensive;;;;;;;;;;;;;x
household_guard_morale;Household Guard Morale;;;;;;;;;;;;;x
household_guard_modifier;Combat Modifier boost to Household Guard unit Troops: $PERC$;;;;;;;;;;;;;x
heavy_axemen;Heavy Axemen;;;;;;;;;;;;;x
heavy_axemen_offensive;Heavy Axemen Offensive;;;;;;;;;;;;;x
heavy_axemen_defensive;Heavy Axemen Defensive;;;;;;;;;;;;;x
heavy_axemen_morale;Heavy Axemen Morale;;;;;;;;;;;;;x
heavy_axemen_modifier;Combat Modifier boost to Heavy Axemen unit Troops: $PERC$;;;;;;;;;;;;;x
longbowmen;Longbowmen;;;;;;;;;;;;;x
longbowmen_offensive;Longdbowmen Offensive;;;;;;;;;;;;;x
longbowmen_defensive;Longdbowmen Defensive;;;;;;;;;;;;;x
longbowmen_morale;Longdbowmen Morale;;;;;;;;;;;;;x
longbowmen_modifier;Combat Modifier boost to Longdbowmen unit Troops: $PERC$;;;;;;;;;;;;;x
crossbowmen;Crossbowmen;;;;;;;;;;;;;x
crossbowmen_offensive;Crossbowmen Offensive;;;;;;;;;;;;;x
crossbowmen_defensive;Crossbowmen Defensive;;;;;;;;;;;;;x
crossbowmen_morale;Crossbowmen Morale;;;;;;;;;;;;;x
crossbowmen_modifier;Combat Modifier boost to Crossbowmen unit Troops: $PERC$;;;;;;;;;;;;;x
hedge_knights;Hedge Knights;;;;;;;;;;;;;x
hedge_knights_offensive;Hedge Knights Offensive;;;;;;;;;;;;;x
hedge_knights_defensive;Hedge Knights Defensive;;;;;;;;;;;;;x
hedge_knights_morale;Hedge Knights Morale;;;;;;;;;;;;;x
hedge_knights_modifier;Combat Modifier boost to Hedge Knights unit Troops: $PERC$;;;;;;;;;;;;;x
RETTYPE_HOUSEHOLD_GUARD;Household Guard Retinue;;;;;;;;;;;;;x
RETTYPE_HEAVY_AXEMEN;Household Heavy Axemen Retinue;;;;;;;;;;;;;x
RETTYPE_LONGBOWMEN;Household Longbowmen Retinue;;;;;;;;;;;;;x
RETTYPE_CROSSBOWMEN;Household Crossbowmen Retinue;;;;;;;;;;;;;x
RETTYPE_HEDGE_KNIGHTS;Hedge Knights Retinue;;;;;;;;;;;;;x
