wildling_horde;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_1;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_1_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_2;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_2_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_3;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_3_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_4;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_4_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_5;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_5_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_6;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_6_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_7;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_7_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_8;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_8_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_9;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_9_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_10;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_10_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_11;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
wildling_horde_11_desc;The Wildlings cannot be ruled the way southerners can. They laugh at notions of blood and birthright. But they will gladly rally behind a strong leader who can prove their worth, forming armies of men and women alike larger than any in the Seven Kingdoms.;Les Sauvageons ne peuvent être gouverné de la même façon que les agenouillés. Ils se gaussent des notions de sang ou de droit de naissance. Mais ils se rallieront volontiers à un chef fort et charismatique qui leur permettra d'éprouver leur valeur, formant ainsi des armées d'hommes et de femmes bien plus grandes que celles des Sept Couronnes.;;;Los Salvajes no pueden ser gobernados de la misma manera que los sureños. Ellos se ríen de los conceptos de sangre y derecho de nacimiento. Pero fácilmente seguirán a un fuerte líder que pueda probar su valía, formando ejércitos de hombres y mujeres más numerosos que cualquiera de los Siete Reinos.;;;;;;;;;x
wildling_horde_12;Wildling Warlord;Seigneur de Guerre sauvageon;;;Señor de la Guerra Salvaje;;;;;;;;;x,,,
