#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;x
claim_the_dusklands;Claim the Blackwater;;;;;;;;;;
claim_the_dusklands_desc;For thousands of years the Blackwater was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Blackwater and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_dorne;Claim Dorne;;;;;;;;;;
claim_dorne_desc;For thousands of years Dorne was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim Dorne and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_iron_islands;Claim the Iron Islands;;;;;;;;;;
claim_the_iron_islands_desc;For thousands of years the Iron Islands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Iron Islands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_north;Claim the North;;;;;;;;;;
claim_the_north_desc;For thousands of years the North was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the North and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_reach;Claim the Reach;;;;;;;;;;
claim_the_reach_desc;For thousands of years the Reach was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the North and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_riverlands;Claim the Riverlands;;;;;;;;;;
claim_the_riverlands_desc;For thousands of years the Riverlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Riverlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_stormlands;Claim the Stormlands;;;;;;;;;;
claim_the_stormlands_desc;For thousands of years the Stormlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Stormlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_vale;Claim the Vale;;;;;;;;;;
claim_the_vale_desc;For thousands of years the Vale was divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Vale and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
claim_the_westerlands;Claim the Westerlands;;;;;;;;;;
claim_the_westerlands_desc;For thousands of years the Westerlands were divided and lacked a strong ruler willing to unite it under one banner but those times have come to an end. You claim the Westerlands and demand that all remaining kings within that kingdom swear fealty to you.;;;;;;;;;;
EVTDESCTSK_HIGH_KINGDOM0;For thousands of years [Root.PrimaryTitle.GetName] were ruled by petty kings. But now all of them are united in one realm, under the banner of house [Root.GetOnlyDynastyName]. Still, some of them call themselves kings, even though they swore fealty to me and are my legal subjects.;;;;;;;;;;
EVTOPTATSK_HIGH_KINGDOM0;Let them keep their titles.;;;;;;;;;;
TSKHIGHKINGDOMEVT0CUSTOM1;King-tier rulers continue calling themselves King or Queen.;;;;;;;;;;
EVTOPTBTSK_HIGH_KINGDOM0;Let them keep their rank but I am the king.;;;;;;;;;;
TSKHIGHKINGDOMEVT0CUSTOM2;All king-tier rulers are named Lord and Lady Marshal.;;;;;;;;;;
EVTOPTCTSK_HIGH_KINGDOM0;There is only one king in [Root.PrimaryTitle.GetName].;;;;;;;;;;
TSKHIGHKINGDOMEVT0CUSTOM3;;;;;;;;;;;
EVTDESCTSK_HIGH_KINGDOM1;[From.GetTitledName] has decided that you may continue to name yourself [Root.GetKingQueen] of [Root.PrimaryTitle.GetName].;;;;;;;;;;
EVTOPTATSK_HIGH_KINGDOM1;Good.;;;;;;;;;;
EVTOPTBTSK_HIGH_KINGDOM1;At least I keep my vassals...;;;;;;;;;;
EVTOPTCTSK_HIGH_KINGDOM1;I will not forget my claim!;;;;;;;;;;
