#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
first_men;First Men;First Men;First Men;;First Men;;;;;;;;;x
thenn;Thenn;Thenn;Thenn;;Thenn;;;;;;;;;x
nightrunners;Nightrunners;Nightrunners;Nightrunners;;Nightrunners;;;;;;;;;x
frozen_shore;Men of the Frozen Shore;Men of the Frozen Shore;Men of the Frozen Shore;;Men of the Frozen Shore;;;;;;;;;x
ice_rivermen;Ice Rivermen;Ice Rivermen;Ice Rivermen;;Ice Rivermen;;;;;;;;;x
hornfoots;Hornfoots;Hornfoots;Hornfoots;;Hornfoots;;;;;;;;;x
cavemen;Cavemen;Cavemen;Cavemen;;Cavemen;;;;;;;;;x
gildlic;Gildlic;Gildlic;Gildlic;;Gildlic;;;;;;;;;x
dumhic;Dumhic;Dumhic;Dumhic;;Dumhic;;;;;;;;;x
hartenn;Hartenn;Hartenn;Hartenn;;Hartenn;;;;;;;;;x
saliosi;Saliosi;Saliosi;Saliosi;;Saliosi;;;;;;;;;x
harishic;Harishic;Harishic;Harishic;;Harishic;;;;;;;;;x
skagosi;Skagosi;Skagosi;Skagosi;;Skagosi;;;;;;;;;x
wildling;Wildling;Wildling;Wildling;;Wildling;;;;;;;;;x
northmen;Northmen;Northmen;Northmen;;Northmen;;;;;;;;;x
barrowmen;Barrowmen;Barrowmen;Barrowmen;;Barrowmen;;;;;;;;;x
flint_clansmen;Flint Clansmen;Flint Clansmen;Flint Clansmen;;Flint Clansmen;;;;;;;;;x
crannogmen;Crannogmen;Crannogmen;Crannogmen;;Crannogmen;;;;;;;;;x
hill_clansmen;Hill Clansmen;Hill Clansmen;Hill Clansmen;;Hill Clansmen;;;;;;;;;x
clansmen;Clansmen;Clansmen;Clansmen;;Clansmen;;;;;;;;;x
crackclawmen;Crackclawmen;Crackclawmen;Crackclawmen;;Crackclawmen;;;;;;;;;x
crabmen;Crabmen;Crabmen;Crabmen;;Crabmen;;;;;;;;;x
dusklander;Dusklander;Dusklander;Dusklander;;Dusklander;;;;;;;;;x
mountain_clansmen;Mountain Clansmen;Mountain Clansmen;Mountain Clansmen;;Mountain Clansmen;;;;;;;;;x
craggon;Craggon;Craggon;Craggon;;Craggon;;;;;;;;;x
muddish;Muddish;Muddish;Muddish;;Muddish;;;;;;;;;x
ANDAL WESTEROSI NAMES;ANDAL WESTEROSI NAMES;ANDAL WESTEROSI NAMES;ANDAL WESTEROSI NAMES;;;;;;;;;;;x
andal;Andal;Andal;Andal;;Andal;;;;;;;;;x
valeman;Valeman;Valemen;Valemen;;Valemen;;;;;;;;;x
lowland_valeman;Lowland Valemen;Lowland Valemen;Lowland Valemen;;Lowland Valemen;;;;;;;;;x
bronzeman;Bronzemen;Bronzemen;Bronzemen;;Bronzemen;;;;;;;;;x
sisterman;Sistermen;Sistermen;Sistermen;;Sistermen;;;;;;;;;x
crownlander;Crownlander;Crownlander;Crownlander;;Crownlander;;;;;;;;;x
riverlander;Riverlander;Riverlander;Riverlander;;Riverlander;;;;;;;;;x
westerlander;Westermen;Westermen;Westermen;;Westermen;;;;;;;;;x
goldman;Goldmen;Goldmen;Goldmen;;Goldmen;;;;;;;;;x
copperlander;Copperlander;Copperlander;Copperlander;;Copperlander;;;;;;;;;x
cornlander;Cornlander;Cornlander;Cornlander;;Cornlander;;;;;;;;;x
reachman;Reachmen;Reachmen;Reachmen;;Reachmen;;;;;;;;;x
shieldislander;Shield Islander;Shield Islander;Shield Islander;;Shield Islander;;;;;;;;;x
manderish;Manderish;Manderish;Manderish;;Manderish;;;;;;;;;x
wynelander;Wynelander;Wynelander;Wynelander;;Wynelander;;;;;;;;;x
stormlander;Stormlander;Stormlander;Stormlander;;Stormlander;;;;;;;;;x
marcher;Marcher;Marcher;Marcher;;Marcher;;;;;;;;;x
waterman;Waterman;Waterman;Waterman;;Waterman;;;;;;;;;x
wrathman;Wrathman;Wrathman;Wrathman;;Wrathman;;;;;;;;;x
rainlander;Rainlander;Rainlander;Rainlander;;Rainlander;;;;;;;;;x
rhoynar;Rhoynar;Rhoynar;Rhoynar;;Rhoynar;;;;;;;;;x
dornish;Dornish;Dornish;Dornish;;Dornish;;;;;;;;;x
salt_dornish;Salt Dornish;Salt Dornish;Salt Dornish;;Salt Dornish;;;;;;;;;x
sand_dornish;Sand Dornish;Sand Dornish;Sand Dornish;;Sand Dornish;;;;;;;;;x
stone_dornish;Stone Dornish;Stone Dornish;Stone Dornish;;Stone Dornish;;;;;;;;;x
scorched_dornish;Scorched Dornish;Scorched Dornish;Scorched Dornish;;Scorched Dornish;;;;;;;;;x
greenblood;Greenblood;Greenblood;Greenblood;;Greenblood;;;;;;;;;x
orphans_of_the_greenblood;Orphans of the Greenblood;Orphans of the Greenblood;Orphans of the Greenblood;;Orphans of the Greenblood;;;;;;;;;x
pykem;Pykem;;;;;;;;;x
harlawn;Harlawn;;;;;;;;;x
iron_islander;Ironborn;;;;;;;;;x
north_marcher;North Marcher;North Marcher;North Marcher;;North Marcher;;;;;;;;;x
