#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
the_seven_group;The Seven;The Seven;The Seven;;The Seven;;;;;;;;;x
the_seven;The Seven;The Seven;The Seven;;The Seven;;;;;;;;;x
the_seven_gods;The Seven Gods;;;;;;;;;;;;;x
the_mother;The Mother;;;;;;;;;;;;;x
the_stranger;The Stranger;;;;;;;;;;;;;x
westerosi_pagan_group;Westerosi Pagan;;;;;;;;;;;;;x
lady_of_the_shore;Lady of the Shore;;;;;;;;;;;;;x
old_gods;The Old Gods;;;;;;;;;;;;;x
old_gods_beyond;Beyond the Wall Old Gods;;;;;;;;;;;;;x
old_gods_beyond_white;The White Ones;;;;;;;;;;;;;x
drowned_god_group;Iron Isles;;;;;;;;;;;;;x
drowned_god;The Drowned God;;;;;;;;;;;;;x
storm_god;The Storm God;;;;;;;;;;;;;x
eastern_group;Essossi;;;;;;;;;;;;;x
rhllor;R'hllor;;;;;;;;;;;;;x
moonsingers;Moonsingers;;;;;;;;;;;;;x
faceless_men;Faceless God;;;;;;;;;;;;;x
valyrian_group;Valyrian;;;;;;;;;;;;;x
valyrian;Valyrian;;;;;;;;;;;;;x
the_dragon_gods;The Dragon Gods;;;;;;;;;;;;;x
eastern_pagan_group;Essossi Pagan;;;;;;;;;;;;;x
the_weeping_lady;The Weeping Lady;;;;;;;;;;;;;x
lady_of_the_rocks;The Lady of the Rocks;;;;;;;;;;;;;x
