#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mother_vow_chastity_desc;This woman has vowed to the Mother that she will be chaste and avoid the temptations of the flesh. In exchange, she hopes that the Mother will protect her and her child during the dangerous moments of her labor.;Cette femme a juré à la Sainte Vierge qu'elle sera chaste et évitera les tentations de la chair. En échange, elle espère que la Mère du Christ la protégera elle et son enfant pendant les moments dangereux de son travail.;Diese Frau hat der Heiligen Jungfrau geschworen, dass sie keusch bleibt und den Versuchungen des Fleisches widersteht. Als Gegenleistung hofft sie, dass die Mutter Christi sie und ihr Kind in den gefährlichsten Zeiten der Schwangerschaft beschützen wird.;;Esta mujer ha hecho voto a la Virgen Santa de que ser casta y evitar las tentaciones de la carne. A cambio espera que la Madre de Cristo los proteja, a su hijo y ella, de los momentos peligrosos del parto.;;;;;;;;;x
mother_vow_humility_desc;This woman has vowed to the Mother that she will show humility and avoid dressing immodestly. In exchange, she hopes that the Mother will protect her and her child during the dangerous moments of her labor.;Cette femme a juré à la Sainte Vierge qu'elle se montrera humble chaste et ne s'habillera pas de façon inconvenante. En échange, elle espère que la Mère du Christ la protégera elle et son enfant pendant les moments dangereux de son travail.;Diese Frau hat der Heiligen Jungfrau gelobt, dass sie Bescheidenheit zeigt und sich nicht unziemlich anziehen wird. Als Gegenleistung hofft sie, dass die Mutter Christi sie und ihr Kind in den gefährlichsten Zeiten ihrer Schwangerschaft beschützen wird.;;Esta mujer ha hecho voto a la Virgen Santa de ser humilde y evitar vestir impúdicamente. A cambio espera que la Madre de Cristo los proteja, a su hijo y ella, de los momentos peligrosos del parto.;;;;;;;;;x
mother_vow_charity_desc;This woman has vowed to the Mother that she will care for the sick and the needy. In exchange, she hopes that the Mother will protect her and her child during the dangerous moments of her labor.;Cette femme a juré à la Sainte Vierge qu'elle s'occupera des malades et des nécessiteux. En échange, elle espère que la Mère du Christ la protégera elle et son enfant pendant les moments dangereux de son travail.;Diese Frau hat der Heiligen Jungfrau geschworen, dass sie sich im die Kranken und Bedürftigen kümmern wird.  Als Gegenleistung hofft sie, dass die Mutter Christi sie und ihr Kind in den gefährlichsten Zeiten ihrer Schwangerschaft beschützen wird.;;Esta mujer ha hecho voto a la Virgen Santa de cuidar a enfermos y necesitados. A cambio espera que la Madre de Cristo los proteja, a su hijo y ella, de los momentos peligrosos del parto.;;;;;;;;;x
mother_vow_temperance_desc;This woman has vowed to the Mother that she will show restraint in her habits and forsake all excesses. In exchange, she hopes that the Mothert will protect her and her child during the dangerous moments of her labor.;Cette femme a juré à la Sainte Vierge qu'elle se restreindra dans ses habitudes, évitant tout excès. En échange, elle espère que la Mère du Christ la protégera elle et son enfant pendant les moments dangereux de son travail.;Diese Frau hat der Heiligen Jungfrau geschworen, dass sie sich ihre Gewohnheiten zügeln und alle Exzesse aufgeben wird. Als Gegenleistung hofft sie, dass die Mutter Christi sie und ihr Kind in den gefährlichsten Zeiten ihrer Schwangerschaft beschützen wird.;;Esta mujer ha hecho voto a la Virgen Santa de ser comedida en sus hábitos y olvidará los excesos. A cambio espera que la Madre de Cristo los proteja, a su hijo y ella, de los momentos peligrosos del parto.;;;;;;;;;x
EVTDESCHFPA20569;I am uncertain about my future and I cannot stop worrying about the life of my unborn child. Perhaps I should make a vow to the Mother, and pray her to ease my tribulations and help me give birth to a strong and healthy child.;Je ne suis pas certaine de mon avenir et je ne peux m'empêcher de m'inquiéter de la vie de mon enfant à naître. Peut-être devrais-je faire un voeu à la Vierge Marie et la prier de soulager mes tribulations et de m'aider à donner naissance à un enfant fort et en bonne santé.;Ich bin über meine Zukunft unsicher und kann nicht aufhören, mich um das Leben meines ungeborenen Kindes zu sorgen. Vielleicht sollte ich vor der Heiligen Jungfrau Maria ein Gelübde ablegen und sie bitten, meine Sorgen zu mildern und mir dabei zu helfen, ein starkes und gesundes Kind zur Welt zu bringen.;;No estoy segura sobre el futuro y no puedo dejar de preocuparme por la vida de mi hijo nonato. Tal vez deba hacer votos a la Virgen María y rezarla para que alivie mis aflicciones y que me ayude a dar a luz un niño fuerte y sano.;;;;;;;;;x
tooltip_mary_vow;Decide what kind of vow to the Mother you wish to take.;Décider quel voeu vous souhaitez faire à la Vierge Marie.;Entscheidet, welche Art von Gelübde Ihr vor der Jungfrau ablegen möchtet.;;Decide qué clase de voto deseas hacer a la Virgen.;;;;;;;;;x
EVTOPTBHFP20569;I do not need to concern the Mother with my troubles.;Je n'ai pas besoin d'inquiéter la Vierge Marie avec mes soucis.;Ich sollte die Heilige Jungfrau nicht mit meinen Problemen belästigen.;;No debo molestar a la Virgen con mis problemas.;;;;;;;;;x
EVTDESCHFPA20570;The statue of the Mother stands over the chapel's alcove, the divine child resting on her arm. I kneel before it and look up at her somber smile.;La statue de la Sainte Vierge se tient au-dessus de l'alcôve de la chapelle, l'enfant divin reposant sur son bras. Je m'agenouille devant elle et lève les yeux vers son sombre sourire.;Die Statue der Heiligen Jungfrau steht über einer Nische der Kapelle. Das göttliche Kind ruht auf ihrem Arm. Ich knie vor ihr nieder und schaue zu ihrem geheimnisvollen Lächeln hinauf.;;La estatua de la Virgen está en una hornacina de la capilla, con el Santo Niño en sus brazos. Me arrodillo ante ella y miro su sonrisa sobria.;;;;;;;;;x
tooltip_vow_chastity;Be §YChaste§!, avoid the pleasures of the flesh, and the §YMother§! may bless you with a strong and healthy child.;Soyez §Ychaste§! en évitant les plaisirs de la chair et la §YSainte Vierge§! pourrait vous bénir avec un enfant fort et en bonne santé.;Seid §YKeusch§! und vermeidet die Freuden des Fleisches und die §YHeilige Jungfrau§! könnte Euch mit einem starken und gesunden Kind segnen.;;Sé §Ycasta§!, rehúsa todos los placeres de la carne y la §YVirgen§! te bendecirá con un hijo fuerte y sano.;;;;;;;;;x
tooltip_vow_humility;Be §YHumble§!, avoid trinkets and fine clothing, and the §YMother§! may bless you with a strong and healthy child.;Soyez §Yhumble§! en rejetant les bibelots et les beaux habits et la §YSainte Vierge§! pourrait vous bénir avec un enfant fort et en bonne santé.;Seid §YDemütig§! und vermeidet die Freuden des Fleisches und die §YHeilige Jungfrau§! könnte Euch mit einem starken und gesunden Kind segnen.;;Sé §Yhumilde§!, abandona toda frivolidad y puede que la §YVirgen Santa§! te bendiga con un hijo fuerte y sano.;;;;;;;;;x
tooltip_vow_charity;Be §YCharitable§!, give your wealth to the needy, and the §YMother§! may bless you with a strong and healthy child.;Soyez §Ycharitable§! en donnant vos richesses aux nécessiteux et la §YSainte Vierge§! pourrait vous bénir avec un enfant fort et en bonne santé.;Seid §YWohltätig§! und vermeidet die Freuden des Fleisches und die §YHeilige Jungfrau§! könnte Euch mit einem starken und gesunden Kind segnen.;;Sé §Ycaritativa§!, da tus riquezas a los necesitados y puede que la §YVirgen Santa§! te bendiga con un hijo fuerte y sano.;;;;;;;;;x
tooltip_vow_temperance;Be §YTemperate§!, avoid all excesses, and the §YMother§! may bless you with a strong and healthy child.;Soyez §Ytempérée§! en évitant tout excès et la §YSainte Vierge§! pourrait vous bénir avec un enfant fort et en bonne santé.;Seid §YGemäßigt§! und vermeidet die Freuden des Fleisches und die §YHeilige Jungfrau§! könnte Euch mit einem starken und gesunden Kind segnen.;;Sé §Ycomedida§!, evita todos los excesos y puede que la §YVirgen Santa§! te bendiga con un hijo fuerte y sano.;;;;;;;;;x
EVTDESCHFPA20590;The vow I made was not in vain. The Mother has blessed me with a healthy, strong [From.GetBoyGirl].;Le voeu que j'ai fait n'a pas été vain. La Sainte Vierge m'a bénie avec un[From.Get_E] [From.GetBoyGirl] fort[From.Get_E] et sain[From.Get_E].;Das Gelübde, das ich abgelegt hatte, war nicht umsonst. Die Heilige Jungfrau hat mich mit einem gesunden und starken [From.GetBoyGirl] gesegnet.;;El voto que hice no fue en vano. La Virgen me ha bendecido con un[From.GetXA] [From.GetBoyGirl] saludable y fuerte.;;;;;;;;;x
EVTDESCHFPB20590;Perhaps I was not virtuous enough to gain the favor of the Mother: my vow did not help little [From.GetFirstName] to be born in good health.;Peut-être que je n'ai pas été assez vertueuse pour gagner la faveur de la Sainte Vierge. Mon voeu n'a pas aidé [From.GetLeLa] petit[From.Get_E] [From.GetFirstName] à naître en bonne santé.;Vielleicht war ich nicht tugendhaft genug, um die Gunst der Heiligen Jungfrau zu erhalten. Mein Gelübde half nicht dabei, dass [From.GetFirstName] gesund geboren wird.;;Puede que no fuera lo bastante virtuosa como para ganar el favor de la Virgen: mi voto no me ayudó a conseguir al/a la pobre [From.GetFirstName] a nacer con salud.;;;;;;;;;x
EVTDESCHFPC20590;The Mother has turned her gaze away from me. Why else would she let my poor innocent child die before [From.GetSheHe] could even be baptized?;La Sainte Vierge a détourné son regard de moi. Sinon, pourquoi laisserait-elle mourir m[From.GetOnA] pauvre enfant innocent[From.Get_E] avant même d'être baptisé[From.Get_E] ?;Die Heilige Jungfrau hat ihren Blick von mir abgewandt. Warum sonst hätte sie mein armes unschuldiges Kind sterben lassen, bevor es überhaupt getauft werden konnte?;;La Virgen ha apartado la mirada de mí. ¿Por qué si no dejaría que mi pobre hijo inocente muriese antes de ser bautizado?;;;;;;;;;x
nick_the_maid_of_virgin;the Mother's Maid;la Servante de la vierge;die Zofe der Jungfrau;;[This.GetElLa] Servidor[This.GetXA] de la Virgen;;;;;;;;x;
ca_oppressive_fortifications_1;Gloomy Monument;Monument lugubre;Düsteres Monument;;Monumento sombrío;;;;;;;;x
ca_oppressive_fortifications_1_desc;An austere and imposing statue, representing one of the esteemed members of the realm's ruling dynasty. Its cold, stern gaze overlooks the battlements, inspiring a lingering sense of dread amongst the masses.;Une statue austère et imposante, représentant l'un des membres estimés de la dynastie dirigeante du pays. Son regard froid et sévère domine les remparts, inspirant un sentiment d'effroi persistant au peuple.;Eine asketische und imposante Statue, die eines der geschätzten Mitglieder der herrschenden Dynastie des Reiches darstellt. Ihr kalter und strenger Blick überwacht die Zinnen und lässt bei dem Volk ein anhaltendes Gefühl der Angst entstehen.;;Una estatua austera e imponente que representa uno de los miembros apreciados de la dinastía gobernante del reino. Su mirada fría y severa domina las almenas, inspirando una sensación de pavor persistente entre las masas.;;;;;;;;x
ca_oppressive_fortifications_2;Connected Watchtowers;Tours de guet connectées;Verbundene Wachtürme;;Atalayas conectadas;;;;;;;;x
ca_oppressive_fortifications_2_desc;An intricate network of watchtowers ensures that the garrison of this fortress can maintain absolute control over anything happening within the castle.;Un réseau complexe de tours de guet veille à ce que la garnison de cette forteresse puisse maintenir un contrôle absolu sur tout ce qui se passe dans le château.;Ein komplexes Netz aus Wachtürmen stellt sicher, dass die Garnison dieser Festung die absolute Kontrolle über die Burg behält.;;Una intrincada red de atalayas garantiza que la guarnición de esta fortaleza pueda mantener el control absoluto sobre todo lo que pase dentro del castillo.;;;;;;;;x
ca_oppressive_fortifications_3;Lonely Spire;Tour isolée;Abgesonderte Türme;;Torre solitaria;;;;;;;;x
ca_oppressive_fortifications_3_desc;An isolated tower, built not too far from the main castle, providing the garrison with an advanced outpost and a more secretive place to deal with inconvenient prisoners.;Une tour isolée, construite pas trop loin du château principal, fournissant à la garnison un avant-poste avancé et un endroit plus secret pour s'occuper des prisonniers gênants.;Ein isolierter Turm, nicht weit von der Hauptburg entfernt, versorgt die Garnison mit einem vorgeschobenen Außenposten und einem abgeschiedeneren Ort, an dem mit unbequemen Gefangenen umgegangen werden kann.;;Una torre aislada, construida no muy lejos del castillo principal, que proporciona a la guarnición un puesto de vigilancia avanzado y un lugar más secreto para tratar con prisioneros incómodos.;;;;;;;;x
ca_oppressive_fortifications_4;Palace of Justice;Palais de justice;Justizpalast;;Palacio de justicia;;;;;;;;x
ca_oppressive_fortifications_4_desc;A massive building raised within the fortress' walls, surrounded by bloodied pikes and overlooking a large execution stand.;Un bâtiment massif bâti à l'intérieur de la forteresse, entouré de pics ensanglantés et surplombant un grand terrain d'exécution.;Ein massives Gebäude das innerhalb der Festungsmauern errichtet wurde, von blutigen Piken umgeben ist und einen direkten Blick auf den großen Hinrichtungsstand hat.;;Un inmenso edificio levantado dentro de las murallas de la fortaleza, rodeado de picas ensangrentadas y con vistas a un gran puesto de ejecución.;;;;;;;;x
ct_planned_infrastructure_1;Garrisoned Roads;Routes avec garnisons;Verteidigte Straßen;;Carreteras guarnecidas;;;;;;;;x
ct_planned_infrastructure_1_desc;By reorganizing the more rural areas around the city, it is possible to sustain a greater influx of travelers.;En réorganisant les zones plus rurales autour de la ville, il est possible de recevoir un plus grand afflux de voyageurs.;Durch die Umstrukturierung der ländlichen Gebiete rund um die Stadt kann ein größerer Strom von Reisenden aufrechterhalten werden.;;Al reorganizar las áreas más rurales alrededor de la ciudad, es posible mantener una mayor afluencia de viajeros.;;;;;;;;x
ct_planned_infrastructure_2;Stone Roads;Routes en pierre;Steinstraßen;;Caminos de piedra;;;;;;;;x
ct_planned_infrastructure_2_desc;A safe network of wide stone roads can significantly increase the number and size of caravans bringing commerce to the city.;Un réseau sécurisé de larges routes de pierre peut augmenter de manière significative le nombre et la taille des caravanes apportant du commerce à la ville.;Ein sicheres Netz von breiten Steinstraßen kann die Anzahl und die Größe von Karawanen, die Handel in die Stadt bringen, erheblich erweitern.;;Una red segura de anchos caminos de piedra aumentaría significativamente el número y el tamaño de las caravanas que traen el comercio a la ciudad.;;;;;;;;x
ct_planned_infrastructure_3;Cleared Pathways;Voies dégagées;Geräumte Pfade;;Caminos despejados;;;;;;;;x
ct_planned_infrastructure_3_desc;Clearing out the major pathways and establishing official outposts around the city's main roads can greatly facilitate the local garrison's efforts to defend travelers from brigands and wild animals.;L'établissement d'avant-postes officiels autour des routes principales de la ville peut grandement faciliter la protection par la garnison locale des voyageurs contre les brigands et les animaux sauvages.;Durch die Räumung von Hauptpfaden und die Einrichtung offizieller Außenposten und um die Hauptverkehrsstraßen der Stadt ist es möglich die örtlichen Garnisonen bei ihren Bemühungen die Reisenden vor Räubern und wilden Tieren zu beschützen erheblich erleichtern.;;Despejar los principales senderos y establecer puestos de avanzada oficiales en torno a las principales carreteras de la ciudad pueden facilitar en gran medida los esfuerzos de la guarnición local para defender a los viajeros de bandidos y animales salvajes.;;;;;;;;x
ct_planned_infrastructure_4;Great Aqueduct;Grand aqueduc;Großes Aquädukt;;Gran acueducto;;;;;;;;x
ct_planned_infrastructure_4_desc;A marvel of ancient empires, now restored for modern use, capable of quickly transporting water through the entire province.;Merveille des anciens empires, maintenant restaurée pour un usage moderne, capable de transporter rapidement l'eau à travers toute la province.;Ein Wunder der alten Reiche, das für den modernen Gebrauch restauriert ist. Es ist in der Lage Wasser schnell durch die ganze Provinz zu transportieren.;;Una maravilla de antiguos imperios, ahora restaurado para un uso moderno, capaz de llevar rápidamente agua a toda la provincia.;;;;;;;;x
ca_special_fortifications_1;Insulated Sections;Sections isolées;Isolierte Abschnitte;;Secciones aisladas;;;;;;;;x
ca_special_fortifications_1_desc;Compartmentalized wall sections within the fortress ensure that, even in case of a breach, the garrison is able to trap the attackers within the outermost sections of the castle, preventing the sacking of the entire fortress.;Les sections murales cloisonnées de la forteresse permettent à la garnison, même en cas de brèche, de piéger les assaillants dans les parties les plus éloignées du château, évitant ainsi le saccage de toute la forteresse.;Abgegrenzte Mauerabschnitte innerhalb der Festung sorgen dafür, dass die Garnison selbst im Falle eines Bruchs dazu in der Lage ist die Angreifer innerhalb der äußeren Teile der Burg festzusetzen und so eine Plünderung der gesamten Festung verhindert wird.;;Tener secciones compartimentadas en la fortaleza nos garantiza que aunque haya una brecha, la guarnición podrá atrapar a los atacantes dentro de las secciones más exteriores del castillo, impidiéndoles saquear toda la fortaleza.;;;;;;;;x
ca_special_fortifications_2;Killing Fields;Terrains meurtriers;Schlachtfelder;;Liza;;;;;;;;x
ca_special_fortifications_2_desc;The killing fields allow the garrison's archers to safely keep throwing arrows and stones at the attackers even after they have breached through the main walls.;Les terrains meurtriers permettent aux archers de la garnison de continuer à lancer des flèches et des pierres sur les attaquants, même après que ces derniers ont franchi les murs principaux.;Die Schlachtfelder erlauben es den Bogenschützen der Garnison die Angreifer auch dann noch mit Pfeilen und Steinen zu beschießen, wenn diese die Hauptmauern durchbrochen habe.;;La liza permite que los arqueros de la guarnición puedan seguir lanzando flechas y piedras a los atacantes aunque hayan atravesado la muralla principal.;;;;;;;;x
ca_special_fortifications_3;Extended Machicolations;Mâchicoulis étendus;Erweiterte Maschikuli;;Matacanes extendidos;;;;;;;;x
ca_special_fortifications_3_desc;These overhanging holes embedded between the castle's corbels allow the defenders to throw rocks, bees, boiling oil and other unpleasant items at the attackers from a relatively safe position.;Ces trous surplombants encastrés entre les corbeaux du château permettent aux défenseurs de jeter des pierres, des abeilles, de l'huile bouillante et d'autres objets désagréables sur les attaquants à partir d'une position relativement sûre.;Dieser überhängenden Löcher, die zwischen den Konsolen einer Burg eingebettet sind, erlauben den Verteidigern Steine, Pech, brennendes Öl und andere unangenehme Gegenstände aus einer relativ sicheren Position auf die Angreifer zu werfen.;;Esto agujeros colgantes incrustados en los ménsulas del castillo permiten a los defensores lanzar piedras, abejas, aceite hirviendo y otros objetos desagradables a los atacantes desde una posición relativamente segura.;;;;;;;;x
ca_special_fortifications_4;Reinforced Barbican;Barbacane renforcée;Verstärkte Barbakane;;Barbacana reforzada;;;;;;;;x
ca_special_fortifications_4_desc;The latest innovation in military engineering, a reinforced barbican will force the castle's assailants through a crooked and narrow path after the breach of the main gate, exposing them to heavy retaliation from the defenders.;Dernière innovation en matière d'ingénierie militaire, une barbacane renforcée va forcer les assaillants du château à emprunter un chemin tortueux et étroit après la rupture de la porte principale, les exposant à de lourdes représailles de la part des défenseurs.;Die neuste Innovation in der Militärtechnologie, die verstärkte Barbakane, zwingt die Angreifer nach einem Durchbruch des Haupttors auf einen krummen und engen Pfad, wodurch diese den schweren Vergeltungsmaßnahmen der Verteidiger ausgesetzt sind.;;Una barbacana reforzada, la última innovación en ingeniería militar, obligará a los asaltantes del castillo a que recorran un camino estrecho y sinuoso tras atravesar la puerta principal, expuestos a las represalias de los defensores.;;;;;;;;x
tp_monumental_shrines_1;Monumental Shrines;Sanctuaires monumentaux;Monumentale Schreine;;Santuarios monumentales;;;;;;;;x
tp_monumental_shrines_1_desc;Only by erecting ever taller and greater monuments can we truly prove our eternal devotion towards the heavens.;Ce n'est qu'en érigeant des monuments toujours plus grands que nous pourrons vraiment prouver notre dévotion éternelle vers les cieux.;Nur durch den Bau immer größerer Monumente können wir unsere bedingungslose Hingabe wirklich beweisen.;;Solo erigiendo monumentos cada vez más altos y mayores podremos de verdad demostrar nuestra devoción eterna a los cielos.;;;;;;;;x
tp_monumental_shrines_2;Monumental Shrines;Sanctuaires monumentaux;Monumentale Schreine;;Santuarios monumentales;;;;;;;;x
