#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JD_30012;I have noticed that [chinese_courtier.GetBestName] has grown increasingly aggravated during the last couple of weeks, and today something extra unthoughtful slipped my tongue which caused [chinese_courtier.GetHerHim] to storm off exclaiming that the Archon would hear about this.;J'ai remarqué que [chinese_courtier.Get_only_le_Title][chinese_courtier.GetBestName] s'est agacé[chinese_courtier.Get_E] de plus en plus ces dernières semaines, et aujourd'hui, quelque chose de très irréfléchi est sorti de ma bouche, ce qui lui a fait s'écrier que l'Empereur allait en entendre parler.;Ich habe bemerkt, dass [chinese_courtier.GetBestName] in den letzten paar Wochen deutlich gereizter war, und heute ist mir unachtsamerweise etwas über die Lippen gegangen, das [chinese_courtier.GetHerHim] dazu gebracht hat, mit der Anmerkung hinaus zu stürmen, dass der Kaiser davon hören würde.;;He notado que la exasperación de [chinese_courtier.GetBestName] ha aumentado en estas semanas, y hoy se me escapó algo especialmente torpe, lo que le hizo marcharse presa de la ira, gritando que el Emperador se enterará de esto.;;;;;;;;;x
monthly_grace;Monthly Grace;Grâce mensuelle;Monatliche Gunst;;Gracia mensual;;;;;;;;;x
OFFMAP_MAP_MODE_DESC;Shows the realm of the governor, the tributaries, and the diplomatic range of [Root.GetShortGenericName];Affiche le pays du gouverneur, les tributaires et la portée diplomatique de l'[Root.GetShortGenericName];Zeigt das Reich des Gouverneurs, die Tributstaaten und die diplomatische Reichweite von [Root.GetShortGenericName].;;Muestra el reino del gobernador, tributarios y el alcance diplomático del [Root.GetShortGenericName];;;;;;;;;x
OFFMAP_GRACE;Grace;Grâce;Gunst;;Gracia;;;;;;;;;x
TXT_GRACE_desc;\nGrace is gained by §YPaying Tribute§! to the current Archon, you can use accumulated Grace to §GAsk for Boons§!. Any Grace you have accumulated will be passed on to your heir during succession.\n§RAll Grace is lost should the Dynasty change in Valyria!§!;\nLa Grâce est obtenue en §Ypayant un tribut§! à l'Empereur actuel. Vous pouvez l'utiliser ensuite pour demander une §Gfaveur§!. Toute la Grâce accumulée sera héritée à la succession.\n§RToute Grâce serait perdue si la dynastie venait à changer en Chine !§!;\nGunst wird durch §YZahlung von Tribut§! an den gegenwärtigen Kaiser gewonnen und wird für das §GAnfordern von Gefallen§! benutzt. Die gesamte angesammelte Gunst wird bei Erbfolge an den Erben übertragen.\n§RJegliche Gunst geht verloren, wenn sich die herrschende Dynastie Chinas ändert!§!;;\nSe gana gracia §Ypagando tributos§! al Emperador actual. Se puede usar la gracia acumulada solicitando §GRegalos§! Toda la gracia acumulada pasara a nuestro heredero en la sucesión.\n§R¡Si hay un cambio de dinastía en China, se perderá toda la gracia!§!;;;;;;;;;x
confucian_bureaucracy;Freehold;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
succ_offmap_succession;Confucian Bureaucracy;Bureaucratie confucéenne;Konfuzianische Bürokratie;;Burocracia confuciana;;;;;;;;;x
offmap_succession;Appointment;Nomination;Ernennung;;Nombramiento;;;;;;;;;x
EVTOPTA_JD_20005_tt;§Y[From.GetJobTitle] [From.GetDynName]§! departs immediately as [From.GetSheHe] believes [From.GetHerHis] visit has been cursed by Heaven.;[From.Get_only_Le_JobTitle]§Y[From.GetJobTitle] [From.GetDynName]§! part immédiatement puisqu'[From.GetIlElle] croit que sa visite a été maudite par les Cieux.;§Y[From.GetJobTitle] [From.GetDynName]§! reist unverzüglich ab, da [From.GetSheHe] denkt, [From.GetHerHis] Besuch wurde vom Himmel verflucht.;;§Y[From.GetJobTitle] [From.GetDynName]§! se marcha inmediatamente, creyendo que el Cielo ha maldecido su visita.;;;;;;;;;x
EVTDESC_JD_20007;I asked the translator to not only instruct me in the proper pronunciation, but also teach me the grammar and meaning behind the words. It took many hours, but the pleased look on [FromFrom.GetJobTitle] [FromFrom.GetDynName]'s [FromFrom.GetFaceDescription] face as I greet [FromFrom.GetHerHim] in flawless High Valyrian proves that it was worth the effort.;J'ai demandé au traducteur de m'expliquer non seulement la bonne prononciation, mais aussi de m'apprendre la grammaire et le sens des mots. Il a fallu beaucoup d'heures, mais la mine satisfaite [FromFrom.Get_du_JobTitle] [FromFrom.GetDynName] tandis que je le salue dans un chinois impeccable prouve que cela en valait la peine.;Ich habe den Übersetzer nicht nur gebeten, mich in der richtigen Aussprache zu unterweisen, sondern auch, mich in der Grammatik und der Bedeutung hinter den Wörtern zu lehren. Es dauerte viele Stunden, aber der erfreute Blick auf dem [FromFrom.GetFaceDescription] Gesicht von [FromFrom.GetJobTitle] [FromFrom.GetDynName] nach meiner Begrüßung in makellosem Chinesisch zeigt, dass es die Mühe wert war.;;Pedí al traductor que no solo me instruyese en la pronunciación correcta, sino que también me enseñase la gramática y el significado de las palabras. Llevó muchas horas, pero la mirada satisfecha en el rostro [FromFrom.GetFaceDescription] de [FromFrom.GetJobTitle] [FromFrom.GetDynName] al saludarle en un chino perfecto demuestra que valió la pena.;;;;;;;;;x
