CHRONICLE_OF_HOUSE;The Chronicle of the glorious \nHouse [GetOnlyDynastyName];Les Chroniques de la glorieuse \nMaison [GetOnlyDynastyName];Die Chronik des \nHauses [GetOnlyDynastyName];;La Crónica de la \nCasa de [GetOnlyDynastyName];;;;;;;;;x;;
Cultureee ;Culture ;Culture ;Kulture ;;Cultura ;;;;;;;;;x
Religionee ;Religion ;Religion ;;;Religion ;;;;;;;;;x
CHARVIEW_TITLES;Titles;Titres;Titel;;Titulos:;;;;;;;;;x
FE_WARS;Diplomacy: ;Diplomatie : ;;;;;;;;;;;;x
LOADING_TIP_14;With the ARKOpack\n use < and > to navigate inside the Chronicles.;Avec l'ARKOpack, vous pouvez naviguer\n dans les Chroniques avec les touches < et >.;;;;;;;;;;;;x
FE_VASSALS;Our Vassals;Nos vassaux;;;;;;;;;;;;x
MULTIee;Multiplayer;Multijoueur;;;;;;;;;;;;x
REPUBLICSee;Merchant Republics;Républiques marchandes;Handelsrepubliken;;Repúblicas mercantiles;;;;;;;;;x
REPUBLICSeeBLABLA;Merchant Republics exercise their influence via trade. At their head powerful families feud in their struggle for the leadership.;Les Républiques marchandes exercent leur influence par le commerce. A leur tête on trouve de puissantes familles qui rivalisent pour le pouvoir.;Handelsrepubliken blabla;;Repúblicas mercantiles blabla;;;;;;;;;x
INDEPENDENT;Independent\nRuler;Souverain\nindépendant;\nUnabhängig;;\nIndependiente;\nIndipendente;;;;;;;;x
IS_NOT_OF_CULTURE;Is NOT of culture: ;N'est pas de culture ;Gehört nicht zur Kultur: ;;No es de la cultura: ;Non appartiene alla cultura: ;;;;;;;;x
IS_OF_CULTURE;Is of culture: ;Est de culture ;Gehört zur Kultur: ;;Es de la cultura: ;Appartiene alla cultura: ;;;;;;;;x
RD_MARRIED2;Married: ;Marié(e);Verheiratet:;;Casado:;;;;;;;;;x
RD_CULTURE;Culture: ;Culture ;Kultur:;;Cultura:;;;;;;;;;x
RD_RELIGION;Religion: ;Religion ;Religion:;;Religión:;;;;;;;;;x
CHRONICLE_START_generic;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], qui relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x;;
CHRONICLE_START_muslim;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Au nom d'Allah, le tout puissant, le miséricordieux, loué soit-il, c'est à moi scribe de la noble maison [Root.GetOnlyDynastyName] qu'il appartient de relater ici les hauts faits, fortune et revers de cette glorieuse dynastie, puisse-t-elle perdurer à jamais ! \nC'est au cours du règne de [From.GetTitledName] que commence cette épopée.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x;;
CHRONICLE_START_catholic;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], qui relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x;;
CHRONICLE_START_republic;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Allons-donc, voilà la leçon d'histoire, en tant que précepteur, je me dois de vous assurer une éducation parfaite. Vous ais-je déjà dit que j'avais été Chroniqueur au service de la Famille [Root.GetOnlyDynastyName] ? Nul besoin de vous parler de leurs réussites commerciales, néanmoins connaître leur histoire ne peut que vous aidez à améliorer et chercher à devenir aussi grands qu'eux. Commençons par les faits qui se sont déroulés sous le règne de [From.GetTitledName].;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x;;
