#dispelling

#Lizardman Rituals Mechanics. 
action_ritual_of_the_gods;Ritual of the Gods;;;;;;;;;;;;x
action_ritual_of_the_old_ones;Ritual of the Old Ones;;;;;;;;;;;;x
z_lizardman.100;A Ritual of the Gods;;;;;;;;;;;;x
z_lizardman.100_desc;The magic of the old ones permeates through the jungles. It is time, the moons and the stars shift towards a great alignment. All that remains is for your liege to choose which of the Old Ones Blessings they shall seek? Will it be the Mighty Itzl, the Lord of Beasts, or the Mysterious Topec, bestower of wisdom and protector from magic? Perhaps they shall seek the blessings of Quetzl, the protector, or indeed embrace the stoicism of Tlazcotl.;;;;;;;;;;;;x
z_lizardman.100a;For the Old Ones!;;;;;;;;;;;;x
z_lizardman.101;Ritual of the Old Ones;;;;;;;;;;;;x
z_lizardman.101_desc;The magic of the old ones permeates through the jungles. It is time, the moons and the stars shift towards a great alignment. All that remains is to choose which of the Old Ones Blessings you shall seek? Will it be the Mighty Itzl, the Lord of Beasts, or the Mysterious Topec, bestower of wisdom and protector from magic? Perhaps they shall seek the blessings of Quetzl, the protector, or indeed embrace the stoicism of Tlazcotl.;;;;;;;;;;;;x
z_lizardman.101a;Itzl.;;;;;;;;;;;;x
z_lizardman.101b;Topec.;;;;;;;;;;;;x
z_lizardman.101c;Quetzl.;;;;;;;;;;;;x
z_lizardman.101d;Tlazcotl.;;;;;;;;;;;;x
z_loremaster_tools;Lore Master;;;;;;;;;;;;x
z_loremaster_tools_desc;As a master of Magic, you have a unique power to determine your own magical destiny, both your power and your chosen skills.;;;;;;;;;;;;x 
loremaster.1;Lore Master;;;;;;;;;;;;x
loremaster.1_desc;As a Master of Magic, you can configure your magic ability!;;;;;;;;;;;;x
loremaster.1a;Magic Power;;;;;;;;;;;;x
loremaster.1b;Magic Lore;;;;;;;;;;;;x
loremaster.1c;Magic Cooldown;;;;;;;;;;;;x

loremaster.2;Magic Power;;;;;;;;;;;;x 
loremaster.2_desc;Each use of this option will booost your magic power;;;;;;;;;;;;x
loremaster.2a;Increase Power;;;;;;;;;;;;x

